gseID	gsmID	celfileID	value
E_TABM_158	s0100	LBL_POP_W405609.F03.CEL	105759.68
E_TABM_158	s0138	LBL_POP_W405609.B11.CEL	100189.92
E_TABM_158	b0354	091604_WN405650_LBLPOPII.G09.CEL	95081.1
E_TABM_158	b0428	LBL_POP_W405609.E07.CEL	85441.17
E_TABM_158	b0447	LBL_POP5_4006154_240.E05_v4.cel	107314.15
E_TABM_158	s0205	LBL_POP_W405609.C12.CEL	100813.4
E_TABM_158	b0243	LBL_POP_W405609.H05.CEL	64264.39
E_TABM_158	s0106	LBL_POP_W405609.H03.CEL	95567.56
E_TABM_158	s0195	091604_WN405650_LBLPOPII.H03.CEL	97053.94
E_TABM_158	s0141	LBL_POP_W405609.C11.CEL	106751.74
E_TABM_158	s0047	LBL_POP_W405609.F09.CEL	95828.01
E_TABM_158	b0554	091604_WN405650_LBLPOPII.F01.CEL	107681.28
E_TABM_158	b0370	LBL_POP_W405609.B02.CEL	106664.09
E_TABM_158	s0006	LBL_POP_W405609.G08.CEL	84982.92
E_TABM_158	b0629	091604_WN405650_LBLPOPII.G10.CEL	97211.32
E_TABM_158	b0502	LBL_POP_W405609.B08.CEL	91942.98
E_TABM_158	s0168	LBL_POP_W405609.F11.CEL	91679.88
E_TABM_158	b0519	091604_WN405650_LBLPOPII.E01.CEL	105120.41
E_TABM_158	b0318	LBL_POP_W405609.A06.CEL	102466.59
E_TABM_158	b0341	LBL_POP_W405609.F06.CEL	97570.5
E_TABM_158	b0494	LBL_POP_W405609.H07.CEL	89158.99
E_TABM_158	s0050	LBL_POP_W405609.G09.CEL	100949.34
E_TABM_158	s0067	LBL_POP_W405609.B10.CEL	88021.75
E_TABM_158	s0025	LBL_POP_W405609.B03.CEL	80827.59
E_TABM_158	s0104	LBL_POP_W405609.A11.CEL	93311.59
E_TABM_158	s0170	LBL_POP_W405609.G11.CEL	95634.1
E_TABM_158	b0241	LBL_POP_W405609.G05.CEL	99450.3
E_TABM_158	s0181	LBL_POP_W405609.H04.CEL	88659.74
E_TABM_158	b0664	091604_WN405650_LBLPOPII.F02.CEL	105674.18
