gseID	gsmID	celfileID	value
GSE7378	GSM177493	GSM177493.cel.gz	97187.15
GSE7378	GSM177494	GSM177494.cel.gz	100984.4
GSE7378	GSM177495	GSM177495.CEL.gz	64264.39
GSE7378	GSM177496	GSM177496.cel.gz	104912.85
GSE7378	GSM177497	GSM177497.cel.gz	104540.01
GSE7378	GSM177498	GSM177498.cel.gz	100955.03
GSE7378	GSM177499	GSM177499.cel.gz	108342.5
GSE7378	GSM177500	GSM177500.cel.gz	105701.7
GSE7378	GSM177501	GSM177501.CEL.gz	97570.5
GSE7378	GSM177502	GSM177502.CEL.gz	106664.09
GSE7378	GSM177503	GSM177503.cel.gz	98776.2
GSE7378	GSM177504	GSM177504.CEL.gz	97097.12
GSE7378	GSM177505	GSM177505.cel.gz	105922.98
GSE7378	GSM177506	GSM177506.cel.gz	101772.25
GSE7378	GSM177507	GSM177507.cel.gz	87151.27
GSE7378	GSM177508	GSM177508.cel.gz	97397.37
GSE7378	GSM177509	GSM177509.cel.gz	99274.67
GSE7378	GSM177510	GSM177510.cel.gz	93215.06
GSE7378	GSM177511	GSM177511.CEL.gz	99160.73
GSE7378	GSM177512	GSM177512.cel.gz	67433.66
GSE7378	GSM177513	GSM177513.cel.gz	53656.62
GSE7378	GSM177514	GSM177514.cel.gz	94123.45
GSE7378	GSM177515	GSM177515.cel.gz	106298.4
GSE7378	GSM177516	GSM177516.cel.gz	58635.55
GSE7378	GSM177517	GSM177517.cel.gz	98053.55
GSE7378	GSM177518	GSM177518.cel.gz	90512.45
GSE7378	GSM177519	GSM177519.cel.gz	83787.56
GSE7378	GSM177520	GSM177520.cel.gz	103151.05
GSE7378	GSM177521	GSM177521.cel.gz	94085.2
GSE7378	GSM177522	GSM177522.cel.gz	100409.34
GSE7378	GSM177523	GSM177523.cel.gz	103592.15
GSE7378	GSM177524	GSM177524.CEL.gz	84982.92
GSE7378	GSM177525	GSM177525.cel.gz	87750.76
GSE7378	GSM177526	GSM177526.CEL.gz	108735.95
GSE7378	GSM177527	GSM177527.CEL.gz	97426.77
GSE7378	GSM177528	GSM177528.CEL.gz	95828.01
GSE7378	GSM177529	GSM177529.CEL.gz	94814.83
GSE7378	GSM177530	GSM177530.cel.gz	71335.05
GSE7378	GSM177531	GSM177531.CEL.gz	105759.68
GSE7378	GSM177532	GSM177532.CEL.gz	106246.33
GSE7378	GSM177533	GSM177533.cel.gz	104939.9
GSE7378	GSM177534	GSM177534.CEL.gz	106751.74
GSE7378	GSM177535	GSM177535.cel.gz	98434.35
GSE7378	GSM177536	GSM177536.cel.gz	101614.17
GSE7378	GSM177537	GSM177537.cel.gz	99886.82
GSE7378	GSM177538	GSM177538.cel.gz	104441.07
GSE7378	GSM177539	GSM177539.cel.gz	90880.51
GSE7378	GSM177540	GSM177540.cel.gz	93812.11
GSE7378	GSM177541	GSM177541.cel.gz	41440.69
GSE7378	GSM177542	GSM177542.cel.gz	71033.26
GSE7378	GSM177543	GSM177543.cel.gz	71032.73
GSE7378	GSM177544	GSM177544.cel.gz	77909.9
GSE7378	GSM177545	GSM177545.cel.gz	88347.42
GSE7378	GSM177546	GSM177546.cel.gz	76790.69
