gseID	gsmID	celfileID	value
GSE24185	GSM594855	GSM594855.CEL.gz	74906.57
GSE24185	GSM594856	GSM594856.CEL.gz	70634.86
GSE24185	GSM594857	GSM594857.CEL.gz	70653.68
GSE24185	GSM594858	GSM594858.CEL.gz	56581.3
GSE24185	GSM594859	GSM594859.CEL.gz	62036.89
GSE24185	GSM594860	GSM594860.CEL.gz	59173.05
GSE24185	GSM594861	GSM594861.CEL.gz	62167.75
GSE24185	GSM594862	GSM594862.CEL.gz	70298.77
GSE24185	GSM594863	GSM594863.CEL.gz	57423.52
GSE24185	GSM594864	GSM594864.CEL.gz	67663.34
GSE24185	GSM594865	GSM594865.CEL.gz	65492.5
GSE24185	GSM594866	GSM594866.CEL.gz	53633.16
GSE24185	GSM594867	GSM594867.CEL.gz	61009.8
GSE24185	GSM594868	GSM594868.CEL.gz	61795.66
GSE24185	GSM594869	GSM594869.CEL.gz	54957.45
GSE24185	GSM594870	GSM594870.CEL.gz	59103.18
GSE24185	GSM594871	GSM594871.CEL.gz	57448.55
GSE24185	GSM594872	GSM594872.CEL.gz	58320.94
GSE24185	GSM594873	GSM594873.CEL.gz	58333.82
GSE24185	GSM594874	GSM594874.CEL.gz	65502.11
GSE24185	GSM594875	GSM594875.CEL.gz	53043.95
GSE24185	GSM594876	GSM594876.CEL.gz	66354.66
GSE24185	GSM594877	GSM594877.CEL.gz	62283.14
GSE24185	GSM594878	GSM594878.CEL.gz	73741.86
GSE24185	GSM594879	GSM594879.CEL.gz	61856.2
GSE24185	GSM594880	GSM594880.CEL.gz	73534.25
GSE24185	GSM594881	GSM594881.CEL.gz	62555.84
GSE24185	GSM594882	GSM594882.CEL.gz	54669.77
GSE24185	GSM594883	GSM594883.CEL.gz	70047.11
GSE24185	GSM594884	GSM594884.CEL.gz	51972.57
GSE24185	GSM594885	GSM594885.CEL.gz	65311.45
GSE24185	GSM594886	GSM594886.CEL.gz	74018.02
GSE24185	GSM594887	GSM594887.CEL.gz	62011.09
GSE24185	GSM594888	GSM594888.CEL.gz	57297.48
GSE24185	GSM594889	GSM594889.CEL.gz	61773.84
GSE24185	GSM594890	GSM594890.CEL.gz	65685.07
GSE24185	GSM594891	GSM594891.CEL.gz	70158.66
GSE24185	GSM594892	GSM594892.CEL.gz	66228.32
GSE24185	GSM594893	GSM594893.CEL.gz	68872.16
GSE24185	GSM594894	GSM594894.CEL.gz	52579.55
GSE24185	GSM594895	GSM594895.CEL.gz	69374.06
GSE24185	GSM594896	GSM594896.CEL.gz	62079.79
GSE24185	GSM594897	GSM594897.CEL.gz	68487.2
GSE24185	GSM594898	GSM594898.CEL.gz	66189.2
GSE24185	GSM594899	GSM594899.CEL.gz	69786.07
