gseID	gsmID	celfileID	value
GSE10797	GSM272671	GSM272671.CEL.gz	93906.18
GSE10797	GSM272672	GSM272672.CEL.gz	66622.55
GSE10797	GSM272673	GSM272673.CEL.gz	67584.59
GSE10797	GSM272674	GSM272674.CEL.gz	48639.62
GSE10797	GSM272675	GSM272675.CEL.gz	89192.27
GSE10797	GSM272676	GSM272676.CEL.gz	61415.18
GSE10797	GSM272677	GSM272677.CEL.gz	76620.14
GSE10797	GSM272678	GSM272678.CEL.gz	69588.5
GSE10797	GSM272679	GSM272679.CEL.gz	71557.32
GSE10797	GSM272680	GSM272680.CEL.gz	58312.59
GSE10797	GSM272681	GSM272681.CEL.gz	63306.82
GSE10797	GSM272682	GSM272682.CEL.gz	48972.5
GSE10797	GSM272683	GSM272683.CEL.gz	73447.09
GSE10797	GSM272684	GSM272684.CEL.gz	43114.05
GSE10797	GSM272685	GSM272685.CEL.gz	77300.45
GSE10797	GSM272686	GSM272686.CEL.gz	60860.59
GSE10797	GSM272687	GSM272687.CEL.gz	62132.45
GSE10797	GSM272688	GSM272688.CEL.gz	42636.18
GSE10797	GSM272689	GSM272689.CEL.gz	69983.41
GSE10797	GSM272690	GSM272690.CEL.gz	46666.59
GSE10797	GSM272691	GSM272691.CEL.gz	75621.86
GSE10797	GSM272692	GSM272692.CEL.gz	39244
GSE10797	GSM272693	GSM272693.CEL.gz	55738.23
GSE10797	GSM272694	GSM272694.CEL.gz	53190.05
GSE10797	GSM272695	GSM272695.CEL.gz	74074.82
GSE10797	GSM272696	GSM272696.CEL.gz	65018.14
GSE10797	GSM272697	GSM272697.CEL.gz	75594.68
GSE10797	GSM272698	GSM272698.CEL.gz	61138.73
GSE10797	GSM272699	GSM272699.CEL.gz	73957.73
GSE10797	GSM272700	GSM272700.CEL.gz	42673.73
GSE10797	GSM272701	GSM272701.CEL.gz	74313.82
GSE10797	GSM272702	GSM272702.CEL.gz	53641.73
GSE10797	GSM272703	GSM272703.CEL.gz	84138.95
GSE10797	GSM272704	GSM272704.CEL.gz	49222.26
GSE10797	GSM272705	GSM272705.CEL.gz	61438.18
GSE10797	GSM272706	GSM272706.CEL.gz	50188.36
GSE10797	GSM272707	GSM272707.CEL.gz	48169.91
GSE10797	GSM272708	GSM272708.CEL.gz	56299.59
GSE10797	GSM272709	GSM272709.CEL.gz	64448.23
GSE10797	GSM272710	GSM272710.CEL.gz	41278.73
GSE10797	GSM272711	GSM272711.CEL.gz	78881.73
GSE10797	GSM272712	GSM272712.CEL.gz	50366.18
GSE10797	GSM272713	GSM272713.CEL.gz	44918.27
GSE10797	GSM272714	GSM272714.CEL.gz	39520
GSE10797	GSM272715	GSM272715.CEL.gz	60730.82
GSE10797	GSM272716	GSM272716.CEL.gz	53164.09
GSE10797	GSM272717	GSM272717.CEL.gz	98714.36
GSE10797	GSM272718	GSM272718.CEL.gz	100758.55
GSE10797	GSM272719	GSM272719.CEL.gz	82861.13
GSE10797	GSM272720	GSM272720.CEL.gz	50541.36
GSE10797	GSM272721	GSM272721.CEL.gz	46470.09
GSE10797	GSM272722	GSM272722.CEL.gz	59336.27
GSE10797	GSM272723	GSM272723.CEL.gz	86603.18
GSE10797	GSM272724	GSM272724.CEL.gz	65958.64
GSE10797	GSM272725	GSM272725.CEL.gz	48949.5
GSE10797	GSM272726	GSM272726.CEL.gz	43603.05
GSE10797	GSM272727	GSM272727.CEL.gz	105033.5
GSE10797	GSM272728	GSM272728.CEL.gz	70496.27
GSE10797	GSM272729	GSM272729.CEL.gz	66431.05
GSE10797	GSM272730	GSM272730.CEL.gz	58363.23
GSE10797	GSM272731	GSM272731.CEL.gz	78164.45
GSE10797	GSM272732	GSM272732.CEL.gz	53384.09
GSE10797	GSM272733	GSM272733.CEL.gz	75836
GSE10797	GSM272734	GSM272734.CEL.gz	43712.36
GSE10797	GSM272735	GSM272735.CEL.gz	77596.64
GSE10797	GSM272736	GSM272736.CEL.gz	65373.32
GSE57968	GSM1398806	GSM1398806_ML1_HG-U133A_2.CEL.gz	94524.36
GSE57968	GSM1398807	GSM1398807_ML2_HG-U133A_2.CEL.gz	103412.91
GSE57968	GSM1398808	GSM1398808_ML9_HG-U133A_2.CEL.gz	99767.36
GSE57968	GSM1398809	GSM1398809_ML10_HG-U133A_2.CEL.gz	104676.86
GSE57968	GSM1398810	GSM1398810_ML11_HG-U133A_2.CEL.gz	96480
GSE57968	GSM1398811	GSM1398811_ML12_HG-U133A_2.CEL.gz	94945.86
GSE57968	GSM1398812	GSM1398812_ML15_HG-U133A_2.CEL.gz	92050.32
GSE57968	GSM1398813	GSM1398813_ML16_HG-U133A_2.CEL.gz	81403
GSE57968	GSM1398814	GSM1398814_ML17_HG-U133A_2.CEL.gz	89285.09
GSE57968	GSM1398815	GSM1398815_ML18_HG-U133A_2.CEL.gz	92076.32
GSE57968	GSM1398816	GSM1398816_ML19_HG-U133A_2.CEL.gz	90974.77
GSE57968	GSM1398817	GSM1398817_ML20_HG-U133A_2.CEL.gz	77336.41
GSE57968	GSM1398818	GSM1398818_ML21_HG-U133A_2.CEL.gz	96384.59
GSE57968	GSM1398819	GSM1398819_ML22_HG-U133A_2.CEL.gz	95355.68
GSE57968	GSM1398820	GSM1398820_ML27_HG-U133A_2.CEL.gz	96735.86
GSE57968	GSM1398821	GSM1398821_ML28_HG-U133A_2.CEL.gz	98486.55
GSE57968	GSM1398822	GSM1398822_ML29_HG-U133A_2.CEL.gz	97087.32
GSE57968	GSM1398823	GSM1398823_ML30_HG-U133A_2.CEL.gz	98601.95
GSE57968	GSM1398824	GSM1398824_ML31_HG-U133A_2.CEL.gz	98722.09
GSE57968	GSM1398825	GSM1398825_ML32_HG-U133A_2.CEL.gz	96401.05
GSE57968	GSM1398826	GSM1398826_ML33_HG-U133A_2.CEL.gz	98497.73
GSE57968	GSM1398827	GSM1398827_ML34_HG-U133A_2.CEL.gz	65283.18
GSE57968	GSM1398828	GSM1398828_ML35_HG-U133A_2.CEL.gz	94555.91
GSE57968	GSM1398829	GSM1398829_ML36_HG-U133A_2.CEL.gz	98000.32
GSE57968	GSM1398830	GSM1398830_ML37_HG-U133A_2.CEL.gz	96660.45
GSE57968	GSM1398831	GSM1398831_ML38_HG-U133A_2.CEL.gz	100289.23
GSE57968	GSM1398832	GSM1398832_ML39_HG-U133A_2.CEL.gz	88661.64
GSE57968	GSM1398833	GSM1398833_ML40_HG-U133A_2.CEL.gz	85745
GSE57968	GSM1398834	GSM1398834_ML41_HG-U133A_2.CEL.gz	98273.32
GSE57968	GSM1398835	GSM1398835_ML42_HG-U133A_2.CEL.gz	100105.55
GSE57968	GSM1398836	GSM1398836_ML43_HG-U133A_2.CEL.gz	100162.09
GSE57968	GSM1398837	GSM1398837_ML44_HG-U133A_2.CEL.gz	98634.73
