gseID	gsmID	celfileID	value
GSE1456	GSM107072	GSM107072.CEL.gz	70922.87
GSE1456	GSM107073	GSM107073.CEL.gz	68771.02
GSE1456	GSM107074	GSM107074.CEL.gz	64519.66
GSE1456	GSM107075	GSM107075.CEL.gz	69938.89
GSE1456	GSM107076	GSM107076.CEL.gz	68040.93
GSE1456	GSM107077	GSM107077.CEL.gz	67323.89
GSE1456	GSM107078	GSM107078.CEL.gz	72172.84
GSE1456	GSM107079	GSM107079.CEL.gz	70769.11
GSE1456	GSM107080	GSM107080.CEL.gz	65006.07
GSE1456	GSM107081	GSM107081.CEL.gz	64705.32
GSE1456	GSM107082	GSM107082.CEL.gz	69284.64
GSE1456	GSM107083	GSM107083.CEL.gz	70396.77
GSE1456	GSM107084	GSM107084.CEL.gz	68224.68
GSE1456	GSM107085	GSM107085.CEL.gz	68059.14
GSE1456	GSM107086	GSM107086.CEL.gz	57917.43
GSE1456	GSM107087	GSM107087.CEL.gz	60672.61
GSE1456	GSM107088	GSM107088.CEL.gz	65251.3
GSE1456	GSM107089	GSM107089.CEL.gz	68643.39
GSE1456	GSM107090	GSM107090.CEL.gz	62108.36
GSE1456	GSM107091	GSM107091.CEL.gz	69828.23
GSE1456	GSM107092	GSM107092.CEL.gz	66330.57
GSE1456	GSM107093	GSM107093.CEL.gz	73474.41
GSE1456	GSM107094	GSM107094.CEL.gz	70599
GSE1456	GSM107095	GSM107095.CEL.gz	68086.61
GSE1456	GSM107096	GSM107096.CEL.gz	73397.77
GSE1456	GSM107097	GSM107097.CEL.gz	65386.7
GSE1456	GSM107098	GSM107098.CEL.gz	68167.32
GSE1456	GSM107099	GSM107099.CEL.gz	68522.95
GSE1456	GSM107100	GSM107100.CEL.gz	68274.3
GSE1456	GSM107101	GSM107101.CEL.gz	71387.59
GSE1456	GSM107102	GSM107102.CEL.gz	72532.32
GSE1456	GSM107103	GSM107103.CEL.gz	70931.43
GSE1456	GSM107104	GSM107104.CEL.gz	75789.8
GSE1456	GSM107105	GSM107105.CEL.gz	64621.45
GSE1456	GSM107106	GSM107106.CEL.gz	73491.75
GSE1456	GSM107107	GSM107107.CEL.gz	74525.07
GSE1456	GSM107108	GSM107108.CEL.gz	67118.2
GSE1456	GSM107109	GSM107109.CEL.gz	64889.09
GSE1456	GSM107110	GSM107110.CEL.gz	69825.5
GSE1456	GSM107111	GSM107111.CEL.gz	65741.25
GSE1456	GSM107112	GSM107112.CEL.gz	63328
GSE1456	GSM107113	GSM107113.CEL.gz	74600.11
GSE1456	GSM107114	GSM107114.CEL.gz	72891.95
GSE1456	GSM107115	GSM107115.CEL.gz	70561.41
GSE1456	GSM107117	GSM107117.CEL.gz	73349.77
GSE1456	GSM107118	GSM107118.CEL.gz	71958.61
GSE1456	GSM107119	GSM107119.CEL.gz	72996.95
GSE1456	GSM107120	GSM107120.CEL.gz	71340.82
GSE1456	GSM107121	GSM107121.CEL.gz	73376.68
GSE1456	GSM107122	GSM107122.CEL.gz	67582.02
GSE1456	GSM107123	GSM107123.CEL.gz	73801.14
GSE1456	GSM107124	GSM107124.CEL.gz	64766.32
GSE1456	GSM107125	GSM107125.CEL.gz	74973.73
GSE1456	GSM107126	GSM107126.CEL.gz	71091.05
GSE1456	GSM107127	GSM107127.CEL.gz	64434.18
GSE1456	GSM107128	GSM107128.CEL.gz	73980.55
GSE1456	GSM107129	GSM107129.CEL.gz	61037.98
GSE1456	GSM107130	GSM107130.CEL.gz	64371.3
GSE1456	GSM107131	GSM107131.CEL.gz	64935.91
GSE1456	GSM107132	GSM107132.CEL.gz	74416.34
GSE1456	GSM107133	GSM107133.CEL.gz	72088.5
GSE1456	GSM107134	GSM107134.CEL.gz	69432.95
GSE1456	GSM107135	GSM107135.CEL.gz	63890.43
GSE1456	GSM107136	GSM107136.CEL.gz	66950.02
GSE1456	GSM107137	GSM107137.CEL.gz	75946.77
GSE1456	GSM107138	GSM107138.CEL.gz	73652.05
GSE1456	GSM107139	GSM107139.CEL.gz	63493.15
GSE1456	GSM107140	GSM107140.CEL.gz	61821.18
GSE1456	GSM107141	GSM107141.CEL.gz	65107.77
GSE1456	GSM107142	GSM107142.CEL.gz	72886.48
GSE1456	GSM107143	GSM107143.CEL.gz	63990.86
GSE1456	GSM107144	GSM107144.CEL.gz	69451.66
GSE1456	GSM107145	GSM107145.CEL.gz	71334.55
GSE1456	GSM107146	GSM107146.CEL.gz	74347.2
GSE1456	GSM107147	GSM107147.CEL.gz	72552.07
GSE1456	GSM107148	GSM107148.CEL.gz	79739.48
GSE1456	GSM107149	GSM107149.CEL.gz	79382.07
GSE1456	GSM107150	GSM107150.CEL.gz	74262.11
GSE1456	GSM107151	GSM107151.CEL.gz	55957.45
GSE1456	GSM107152	GSM107152.CEL.gz	76015.48
GSE1456	GSM107153	GSM107153.CEL.gz	74601.57
GSE1456	GSM107154	GSM107154.CEL.gz	66776.43
GSE1456	GSM107155	GSM107155.CEL.gz	71945.45
GSE1456	GSM107156	GSM107156.CEL.gz	68740.39
GSE1456	GSM107157	GSM107157.CEL.gz	70256.89
GSE1456	GSM107158	GSM107158.CEL.gz	71544.23
GSE1456	GSM107159	GSM107159.CEL.gz	71569.95
GSE1456	GSM107160	GSM107160.CEL.gz	73249.46
GSE1456	GSM107161	GSM107161.CEL.gz	66768.27
GSE1456	GSM107162	GSM107162.CEL.gz	64150.68
GSE1456	GSM107163	GSM107163.CEL.gz	73523.24
GSE1456	GSM107164	GSM107164.CEL.gz	69398.18
GSE1456	GSM107165	GSM107165.CEL.gz	70362.52
GSE1456	GSM107166	GSM107166.CEL.gz	63495.39
GSE1456	GSM107167	GSM107167.CEL.gz	73039.98
GSE1456	GSM107168	GSM107168.CEL.gz	72549.24
GSE1456	GSM107169	GSM107169.CEL.gz	76803.8
GSE1456	GSM107170	GSM107170.CEL.gz	71894.05
GSE1456	GSM107171	GSM107171.CEL.gz	77569.7
GSE1456	GSM107172	GSM107172.CEL.gz	69406.86
GSE1456	GSM107173	GSM107173.CEL.gz	73359.18
GSE1456	GSM107174	GSM107174.CEL.gz	71503.18
GSE1456	GSM107175	GSM107175.CEL.gz	76964.09
GSE1456	GSM107176	GSM107176.CEL.gz	75699.23
GSE1456	GSM107177	GSM107177.CEL.gz	74277.2
GSE1456	GSM107178	GSM107178.CEL.gz	76983.77
GSE1456	GSM107179	GSM107179.CEL.gz	78067.84
GSE1456	GSM107180	GSM107180.CEL.gz	79298.39
GSE1456	GSM107181	GSM107181.CEL.gz	75306.2
GSE1456	GSM107182	GSM107182.CEL.gz	74243.18
GSE1456	GSM107183	GSM107183.CEL.gz	74262.05
GSE1456	GSM107184	GSM107184.CEL.gz	73674.93
GSE1456	GSM107185	GSM107185.CEL.gz	76798.61
GSE1456	GSM107186	GSM107186.CEL.gz	71389.48
GSE1456	GSM107187	GSM107187.CEL.gz	67091.18
GSE1456	GSM107188	GSM107188.CEL.gz	76212.84
GSE1456	GSM107189	GSM107189.CEL.gz	68470.62
GSE1456	GSM107190	GSM107190.CEL.gz	76930.05
GSE1456	GSM107191	GSM107191.CEL.gz	69349.14
GSE1456	GSM107192	GSM107192.CEL.gz	74955.68
GSE1456	GSM107193	GSM107193.CEL.gz	72149.75
GSE1456	GSM107194	GSM107194.CEL.gz	68686.66
GSE1456	GSM107195	GSM107195.CEL.gz	76217.11
GSE1456	GSM107196	GSM107196.CEL.gz	77424.34
GSE1456	GSM107197	GSM107197.CEL.gz	74698.82
GSE1456	GSM107198	GSM107198.CEL.gz	74219.36
GSE1456	GSM107199	GSM107199.CEL.gz	71819.14
GSE1456	GSM107200	GSM107200.CEL.gz	76923.84
GSE1456	GSM107201	GSM107201.CEL.gz	77032.11
GSE1456	GSM107202	GSM107202.CEL.gz	72565.77
GSE1456	GSM107203	GSM107203.CEL.gz	69206.79
GSE1456	GSM107204	GSM107204.CEL.gz	74215.61
GSE1456	GSM107205	GSM107205.CEL.gz	76964.05
GSE1456	GSM107206	GSM107206.CEL.gz	69808.91
GSE1456	GSM107207	GSM107207.CEL.gz	75142.59
GSE1456	GSM107208	GSM107208.CEL.gz	78895.86
GSE1456	GSM107209	GSM107209.CEL.gz	75763.11
GSE1456	GSM107210	GSM107210.CEL.gz	79606.95
GSE1456	GSM107211	GSM107211.CEL.gz	75322.3
GSE1456	GSM107212	GSM107212.CEL.gz	75179.68
GSE1456	GSM107213	GSM107213.CEL.gz	78895.91
GSE1456	GSM107214	GSM107214.CEL.gz	75027.86
GSE1456	GSM107215	GSM107215.CEL.gz	74690.45
GSE1456	GSM107216	GSM107216.CEL.gz	73202.36
GSE1456	GSM107217	GSM107217.CEL.gz	75483.14
GSE1456	GSM107218	GSM107218.CEL.gz	71429.82
GSE1456	GSM107219	GSM107219.CEL.gz	78864.91
GSE1456	GSM107220	GSM107220.CEL.gz	81183.86
GSE1456	GSM107221	GSM107221.CEL.gz	75302
GSE1456	GSM107222	GSM107222.CEL.gz	74134.89
GSE1456	GSM107223	GSM107223.CEL.gz	69237.71
GSE1456	GSM107224	GSM107224.CEL.gz	79903.23
GSE1456	GSM107225	GSM107225.CEL.gz	69781.57
GSE1456	GSM107226	GSM107226.CEL.gz	69047.66
GSE1456	GSM107227	GSM107227.CEL.gz	75265.55
GSE1456	GSM107228	GSM107228.CEL.gz	75193.32
GSE1456	GSM107229	GSM107229.CEL.gz	81948.11
GSE1456	GSM107230	GSM107230.CEL.gz	83483.5
GSE1456	GSM107231	GSM107231.CEL.gz	82345.61
GSE3494	GSM79114	GSM79114.CEL.gz	66394.75
GSE3494	GSM79115	GSM79115.CEL.gz	73515.82
GSE3494	GSM79116	GSM79116.CEL.gz	71677.25
GSE3494	GSM79117	GSM79117.CEL.gz	69555.18
GSE3494	GSM79118	GSM79118.CEL.gz	75843.55
GSE3494	GSM79119	GSM79119.CEL.gz	73937.52
GSE3494	GSM79120	GSM79120.CEL.gz	70345.89
GSE3494	GSM79121	GSM79121.CEL.gz	82322
GSE3494	GSM79122	GSM79122.CEL.gz	76501.02
GSE3494	GSM79123	GSM79123.CEL.gz	76119.09
GSE3494	GSM79124	GSM79124.CEL.gz	70952.23
GSE3494	GSM79125	GSM79125.CEL.gz	68414.8
GSE3494	GSM79126	GSM79126.CEL.gz	66147.5
GSE3494	GSM79127	GSM79127.CEL.gz	76508.49
GSE3494	GSM79128	GSM79128.CEL.gz	73998.66
GSE3494	GSM79129	GSM79129.CEL.gz	71559.86
GSE3494	GSM79130	GSM79130.CEL.gz	74718.82
GSE3494	GSM79131	GSM79131.CEL.gz	65889.61
GSE3494	GSM79132	GSM79132.CEL.gz	70680.66
GSE3494	GSM79133	GSM79133.CEL.gz	74588.55
GSE3494	GSM79134	GSM79134.CEL.gz	75194.09
GSE3494	GSM79135	GSM79135.CEL.gz	70607.14
GSE3494	GSM79136	GSM79136.CEL.gz	74525.73
GSE3494	GSM79137	GSM79137.CEL.gz	77139.3
GSE3494	GSM79138	GSM79138.CEL.gz	68177.36
GSE3494	GSM79139	GSM79139.CEL.gz	70798.5
GSE3494	GSM79140	GSM79140.CEL.gz	75684.98
GSE3494	GSM79141	GSM79141.CEL.gz	73540.77
GSE3494	GSM79142	GSM79142.CEL.gz	73787.09
