gseID	gsmID	celfileID	value
GSE1456	GSM107232	GSM107232.CEL.gz	56971.77
GSE1456	GSM107233	GSM107233.CEL.gz	55527.73
GSE1456	GSM107234	GSM107234.CEL.gz	51838
GSE1456	GSM107235	GSM107235.CEL.gz	56405.05
GSE1456	GSM107236	GSM107236.CEL.gz	57308.23
GSE1456	GSM107237	GSM107237.CEL.gz	53862.95
GSE1456	GSM107238	GSM107238.CEL.gz	56498.95
GSE1456	GSM107239	GSM107239.CEL.gz	55303.32
GSE1456	GSM107240	GSM107240.CEL.gz	51943
GSE1456	GSM107241	GSM107241.CEL.gz	52943.05
GSE1456	GSM107242	GSM107242.CEL.gz	52780.77
GSE1456	GSM107243	GSM107243.CEL.gz	55589.27
GSE1456	GSM107244	GSM107244.CEL.gz	54983.82
GSE1456	GSM107245	GSM107245.CEL.gz	56343.23
GSE1456	GSM107246	GSM107246.CEL.gz	52223.32
GSE1456	GSM107247	GSM107247.CEL.gz	54059.23
GSE1456	GSM107248	GSM107248.CEL.gz	55447.05
GSE1456	GSM107249	GSM107249.CEL.gz	56771.23
GSE1456	GSM107250	GSM107250.CEL.gz	54282.09
GSE1456	GSM107251	GSM107251.CEL.gz	54757.77
GSE1456	GSM107252	GSM107252.CEL.gz	52754.59
GSE1456	GSM107253	GSM107253.CEL.gz	55055.41
GSE1456	GSM107254	GSM107254.CEL.gz	55593.82
GSE1456	GSM107255	GSM107255.CEL.gz	52087.82
GSE1456	GSM107256	GSM107256.CEL.gz	54692.55
GSE1456	GSM107257	GSM107257.CEL.gz	53904.05
GSE1456	GSM107258	GSM107258.CEL.gz	54688.41
GSE1456	GSM107259	GSM107259.CEL.gz	53751.5
GSE1456	GSM107260	GSM107260.CEL.gz	55794.05
GSE1456	GSM107261	GSM107261.CEL.gz	55076.68
GSE1456	GSM107262	GSM107262.CEL.gz	54267.14
GSE1456	GSM107263	GSM107263.CEL.gz	55703.55
GSE1456	GSM107264	GSM107264.CEL.gz	57017.23
GSE1456	GSM107265	GSM107265.CEL.gz	53808.68
GSE1456	GSM107266	GSM107266.CEL.gz	55776.59
GSE1456	GSM107267	GSM107267.CEL.gz	55169.45
