gseID	gsmID	celfileID	value
GSE6532	GSM151259	GSM151259.CEL.gz	218577.89
GSE6532	GSM151260	GSM151260.CEL.gz	222738.66
GSE6532	GSM151261	GSM151261.CEL.gz	222983.45
GSE6532	GSM151262	GSM151262.CEL.gz	218052.18
GSE6532	GSM151263	GSM151263.CEL.gz	222766.93
GSE6532	GSM151264	GSM151264.CEL.gz	216412.8
GSE6532	GSM151265	GSM151265.CEL.gz	231318.91
GSE6532	GSM151266	GSM151266.CEL.gz	219560.53
GSE6532	GSM151267	GSM151267.CEL.gz	220693.11
GSE6532	GSM151268	GSM151268.CEL.gz	211280.23
GSE6532	GSM151269	GSM151269.CEL.gz	210439.36
GSE6532	GSM151270	GSM151270.CEL.gz	220073.84
GSE6532	GSM151271	GSM151271.CEL.gz	200475.07
GSE6532	GSM151272	GSM151272.CEL.gz	208706.91
GSE6532	GSM151273	GSM151273.CEL.gz	210384.16
GSE6532	GSM151274	GSM151274.CEL.gz	194555.16
GSE6532	GSM151275	GSM151275.CEL.gz	222964.91
GSE6532	GSM151276	GSM151276.CEL.gz	228455.34
GSE6532	GSM151277	GSM151277.CEL.gz	209872.32
GSE6532	GSM151278	GSM151278.CEL.gz	223345.77
GSE6532	GSM151279	GSM151279.CEL.gz	222941.55
GSE6532	GSM151280	GSM151280.CEL.gz	183143.18
GSE6532	GSM151281	GSM151281.CEL.gz	216847.5
GSE6532	GSM151282	GSM151282.CEL.gz	217182.09
GSE6532	GSM151283	GSM151283.CEL.gz	215439.77
GSE6532	GSM151284	GSM151284.CEL.gz	211759.36
GSE6532	GSM151285	GSM151285.CEL.gz	223513.7
GSE6532	GSM151286	GSM151286.CEL.gz	216646.09
GSE6532	GSM151287	GSM151287.CEL.gz	211161.41
GSE6532	GSM151288	GSM151288.CEL.gz	217649.18
GSE6532	GSM151289	GSM151289.CEL.gz	217087.55
GSE6532	GSM151290	GSM151290.CEL.gz	221339.7
GSE6532	GSM151291	GSM151291.CEL.gz	217565.84
GSE6532	GSM151292	GSM151292.CEL.gz	227798.98
GSE6532	GSM151293	GSM151293.CEL.gz	227947.57
GSE6532	GSM151294	GSM151294.CEL.gz	180609.73
GSE6532	GSM151295	GSM151295.CEL.gz	205000.07
GSE6532	GSM151296	GSM151296.CEL.gz	195190.32
GSE6532	GSM151297	GSM151297.CEL.gz	214634.27
GSE6532	GSM151298	GSM151298.CEL.gz	208453.27
GSE6532	GSM151299	GSM151299.CEL.gz	220404
GSE6532	GSM151300	GSM151300.CEL.gz	222939.98
GSE6532	GSM151301	GSM151301.CEL.gz	217048.52
GSE6532	GSM151302	GSM151302.CEL.gz	216654.84
GSE6532	GSM151303	GSM151303.CEL.gz	228458.75
GSE6532	GSM151304	GSM151304.CEL.gz	225629.8
GSE6532	GSM151305	GSM151305.CEL.gz	223004.2
GSE6532	GSM151306	GSM151306.CEL.gz	218180.04
GSE6532	GSM151307	GSM151307.CEL.gz	208667.39
GSE6532	GSM151308	GSM151308.CEL.gz	216866.93
GSE6532	GSM151309	GSM151309.CEL.gz	218274.55
GSE6532	GSM151310	GSM151310.CEL.gz	210940.16
GSE6532	GSM151311	GSM151311.CEL.gz	208447.55
GSE6532	GSM151312	GSM151312.CEL.gz	226996.48
GSE6532	GSM151313	GSM151313.CEL.gz	224445.52
GSE6532	GSM151314	GSM151314.CEL.gz	225319.27
GSE6532	GSM151315	GSM151315.CEL.gz	226075.32
GSE6532	GSM151316	GSM151316.CEL.gz	208171.77
GSE6532	GSM151317	GSM151317.CEL.gz	208747.91
GSE6532	GSM151318	GSM151318.CEL.gz	220516.35
GSE6532	GSM151319	GSM151319.CEL.gz	222863.2
GSE6532	GSM151320	GSM151320.CEL.gz	208116.45
GSE6532	GSM151321	GSM151321.CEL.gz	220539.86
GSE6532	GSM151322	GSM151322.CEL.gz	209897.52
GSE6532	GSM151323	GSM151323.CEL.gz	208543.11
GSE6532	GSM151324	GSM151324.CEL.gz	216927.95
GSE6532	GSM151325	GSM151325.CEL.gz	207876.59
GSE6532	GSM151326	GSM151326.CEL.gz	215655.05
GSE6532	GSM151327	GSM151327.CEL.gz	208890.48
GSE6532	GSM151328	GSM151328.CEL.gz	215459.75
GSE6532	GSM151329	GSM151329.CEL.gz	221961.25
GSE6532	GSM151330	GSM151330.CEL.gz	221283.27
GSE6532	GSM151331	GSM151331.CEL.gz	208235.89
GSE6532	GSM151332	GSM151332.CEL.gz	217583.64
GSE6532	GSM151333	GSM151333.CEL.gz	221272.61
GSE6532	GSM151334	GSM151334.CEL.gz	214442.36
GSE6532	GSM151335	GSM151335.CEL.gz	217718.45
GSE6532	GSM151336	GSM151336.CEL.gz	209667.68
GSE6532	GSM151337	GSM151337.CEL.gz	213402.36
GSE6532	GSM151338	GSM151338.CEL.gz	206444.43
GSE6532	GSM151339	GSM151339.CEL.gz	220320.86
GSE6532	GSM151340	GSM151340.CEL.gz	214330.02
GSE6532	GSM151341	GSM151341.CEL.gz	215862.36
GSE6532	GSM151342	GSM151342.CEL.gz	210148.14
GSE6532	GSM151343	GSM151343.CEL.gz	204751.5
GSE6532	GSM151344	GSM151344.CEL.gz	221531.73
GSE6532	GSM151345	GSM151345.CEL.gz	225958.27
