gseID	gsmID	celfileID	value
GSE6434	GSM4901	GSM4901.CEL.gz	44246.28
GSE6434	GSM4902	GSM4902.CEL.gz	48462.44
GSE6434	GSM4903	GSM4903.CEL.gz	56749.06
GSE6434	GSM4904	GSM4904.CEL.gz	48583.47
GSE6434	GSM4905	GSM4905.CEL.gz	43895.03
GSE6434	GSM4906	GSM4906.CEL.gz	52575.5
GSE6434	GSM4907	GSM4907.CEL.gz	53099.59
GSE6434	GSM4908	GSM4908.CEL.gz	54295
GSE6434	GSM4909	GSM4909.CEL.gz	42373.25
GSE6434	GSM4910	GSM4910.CEL.gz	45529.38
GSE6434	GSM4911	GSM4911.CEL.gz	46595.69
GSE6434	GSM4912	GSM4912.CEL.gz	48773.66
GSE6434	GSM4913	GSM4913.CEL.gz	52860.69
GSE6434	GSM4914	GSM4914.CEL.gz	44585.28
GSE6434	GSM4915	GSM4915.CEL.gz	51676.84
GSE6434	GSM4916	GSM4916.CEL.gz	46854.28
GSE6434	GSM4917	GSM4917.CEL.gz	52154.78
GSE6434	GSM4918	GSM4918.CEL.gz	49243.19
GSE6434	GSM4919	GSM4919.CEL.gz	55309.72
GSE6434	GSM4920	GSM4920.CEL.gz	52555.12
GSE6434	GSM4921	GSM4921.CEL.gz	52250.12
GSE6434	GSM4922	GSM4922.CEL.gz	46732.16
GSE6434	GSM4923	GSM4923.CEL.gz	51682.41
GSE6434	GSM4924	GSM4924.CEL.gz	46667.62
GSE41194	GSM1010264	GSM1010264_DCIS0011.U95Av2.AB1.011502.CEL.gz	58087.31
GSE41194	GSM1010265	GSM1010265_DCIS0062.U95Av2.AB1.011502.CEL.gz	50995.62
GSE41194	GSM1010266	GSM1010266_DCIS0068.U95Av2.AB1.011802.CEL.gz	53371.94
GSE41194	GSM1010267	GSM1010267_DCIS1528.U95Av2.AB1.010302.CEL.gz	57831.78
GSE41194	GSM1010268	GSM1010268_DCIS2897.U95Av2.AB1.032602.CEL.gz	48774.02
