gseID	gsmID	celfileID	value
GSE33692	GSM832943	GSM832943_S935-A-HuEx-1_0-st-v2-01-1.CEL.gz	237101.17
GSE33692	GSM832944	GSM832944_S936-A-HuEx-1_0-st-v2-01-1.CEL.gz	214915.88
GSE33692	GSM832945	GSM832945_S937-A-HuEx-1_0-st-v2-01-1.CEL.gz	214605.32
GSE33692	GSM832946	GSM832946_S938-A-HuEx-1_0-st-v2-01-1.CEL.gz	232706
GSE33692	GSM832947	GSM832947_S939-A-HuEx-1_0-st-v2-01-1.CEL.gz	203692.46
GSE33692	GSM832948	GSM832948_S940-A-HuEx-1_0-st-v2-01-1.CEL.gz	231163.26
GSE33692	GSM832949	GSM832949_S941-A-HuEx-1_0-st-v2-01-1.CEL.gz	251281.11
GSE33692	GSM832950	GSM832950_S942-A-HuEx-1_0-st-v2-01-1.CEL.gz	229232.39
GSE33692	GSM832951	GSM832951_S943-A-HuEx-1_0-st-v2-01-1.CEL.gz	227523.84
GSE33692	GSM832952	GSM832952_S944-A-HuEx-1_0-st-v2-01-1.CEL.gz	211593.67
GSE33692	GSM832953	GSM832953_S945-A-HuEx-1_0-st-v2-01-1.CEL.gz	214047.98
GSE33692	GSM832954	GSM832954_S946-A-HuEx-1_0-st-v2-01-1.CEL.gz	211992.13
GSE33692	GSM832955	GSM832955_T292-A-HuEx-1_0-st-v2-01-1.CEL.gz	203729.31
GSE33692	GSM832956	GSM832956_T293-A-HuEx-1_0-st-v2-01-1.CEL.gz	217022.03
GSE33692	GSM832957	GSM832957_T294-A-HuEx-1_0-st-v2-01-1.CEL.gz	247315.78
GSE33692	GSM832958	GSM832958_T295-A-HuEx-1_0-st-v2-01-1.CEL.gz	240042.42
GSE33692	GSM832959	GSM832959_T296-A-HuEx-1_0-st-v2-01-1.CEL.gz	200527.64
GSE33692	GSM832960	GSM832960_T297-A-HuEx-1_0-st-v2-01-1.CEL.gz	246792.51
GSE33692	GSM832961	GSM832961_T298-A-HuEx-1_0-st-v2-01-1.CEL.gz	235251.9
GSE33692	GSM832962	GSM832962_T299-A-HuEx-1_0-st-v2-01-1.CEL.gz	221461.67
GSE33692	GSM832963	GSM832963_T300-A-HuEx-1_0-st-v2-01-1.CEL.gz	236734.03
GSE33692	GSM832964	GSM832964_T301-A-HuEx-1_0-st-v2-01-1.CEL.gz	217712.73
GSE33692	GSM832965	GSM832965_T302-A-HuEx-1_0-st-v2-01-1.CEL.gz	214203.66
GSE33692	GSM832966	GSM832966_T303-A-HuEx-1_0-st-v2-01-1.CEL.gz	239247.51
GSE33692	GSM832967	GSM832967_T331-A-HuEx-1_0-st-v2-01-1.CEL.gz	242719.42
GSE33692	GSM832968	GSM832968_T332-A-HuEx-1_0-st-v2-01-1.CEL.gz	211812.11
GSE33692	GSM832969	GSM832969_T333-A-HuEx-1_0-st-v2-01-1.CEL.gz	224503.46
GSE33692	GSM832970	GSM832970_T335-A-HuEx-1_0-st-v2-01-1.CEL.gz	227631.88
GSE33692	GSM832971	GSM832971_T336-A-HuEx-1_0-st-v2-01-1.CEL.gz	230324.83
GSE33692	GSM832972	GSM832972_T337-A-HuEx-1_0-st-v2-01-1.CEL.gz	253566.17
GSE33692	GSM832973	GSM832973_T338-A-HuEx-1_0-st-v2-01-1.CEL.gz	242035.11
GSE33692	GSM832974	GSM832974_T339-A-HuEx-1_0-st-v2-01-1.CEL.gz	224312.74
GSE33692	GSM832975	GSM832975_T340-A-HuEx-1_0-st-v2-01-1.CEL.gz	218746.46
GSE33692	GSM832976	GSM832976_T341-A-HuEx-1_0-st-v2-01-1.CEL.gz	279046.89
GSE33692	GSM832977	GSM832977_T342-A-HuEx-1_0-st-v2-01-1.CEL.gz	195801.89
GSE33692	GSM832978	GSM832978_T343-A-HuEx-1_0-st-v2-01-1.CEL.gz	214756.66
GSE33692	GSM832979	GSM832979_T344-A-HuEx-1_0-st-v2-01-1.CEL.gz	232755.11
GSE33692	GSM832980	GSM832980_T345-A-HuEx-1_0-st-v2-01-1.CEL.gz	231343.39
GSE33692	GSM832981	GSM832981_T346-A-HuEx-1_0-st-v2-01-1.CEL.gz	215029.04
GSE33692	GSM832982	GSM832982_T951-A-HuEx-1_0-st-v2-01-1.CEL.gz	223159.28
GSE33692	GSM832983	GSM832983_T952-A-HuEx-1_0-st-v2-01-1.CEL.gz	204494.72
GSE33692	GSM832984	GSM832984_T955-A-HuEx-1_0-st-v2-01-1.CEL.gz	237061.82
GSE33692	GSM832985	GSM832985_T956-A-HuEx-1_0-st-v2-01-1.CEL.gz	226212.29
GSE33692	GSM832986	GSM832986_T957-A-HuEx-1_0-st-v2-01-1.CEL.gz	260587.95
GSE33692	GSM832987	GSM832987_T958-A-HuEx-1_0-st-v2-01-1.CEL.gz	201294.86
