gseID	gsmID	celfileID	value
GSE86374	GSM2301021	GSM2301021_AT4.CEL.gz	271316.62
GSE86374	GSM2301022	GSM2301022_AT7.CEL.gz	293351.19
GSE86374	GSM2301023	GSM2301023_AT24.CEL.gz	286019.87
GSE86374	GSM2301024	GSM2301024_AT26.CEL.gz	284596.48
GSE86374	GSM2301025	GSM2301025_AT27.CEL.gz	314917.32
GSE86374	GSM2301026	GSM2301026_AT28.CEL.gz	285532.2
GSE86374	GSM2301027	GSM2301027_AT29.CEL.gz	304763.32
GSE86374	GSM2301028	GSM2301028_AT30.CEL.gz	283509.17
GSE86374	GSM2301029	GSM2301029_AT34.CEL.gz	296639.41
GSE86374	GSM2301030	GSM2301030_AT36.CEL.gz	262840.12
GSE86374	GSM2301031	GSM2301031_AT37.CEL.gz	274425.32
GSE86374	GSM2301032	GSM2301032_AT40.CEL.gz	294883.74
GSE86374	GSM2301033	GSM2301033_AT41.CEL.gz	302167.47
GSE86374	GSM2301034	GSM2301034_AT50.CEL.gz	293890.21
GSE86374	GSM2301035	GSM2301035_AT59.CEL.gz	298320.49
GSE86374	GSM2301036	GSM2301036_AT62.CEL.gz	305757.28
GSE86374	GSM2301037	GSM2301037_AT69.CEL.gz	285739.13
GSE86374	GSM2301038	GSM2301038_AT71.CEL.gz	309945.99
GSE86374	GSM2301039	GSM2301039_AT74.CEL.gz	313757.51
GSE86374	GSM2301040	GSM2301040_AT81.CEL.gz	316067.35
GSE86374	GSM2301041	GSM2301041_AT83.CEL.gz	294144.06
GSE86374	GSM2301042	GSM2301042_AT98.CEL.gz	301845.55
GSE86374	GSM2301043	GSM2301043_AT106.CEL.gz	312521.13
GSE86374	GSM2301044	GSM2301044_AT110.CEL.gz	321207.82
GSE86374	GSM2301045	GSM2301045_AT124.CEL.gz	300837.11
GSE86374	GSM2301046	GSM2301046_AT125.CEL.gz	285738.41
GSE86374	GSM2301047	GSM2301047_AT129.CEL.gz	294480.23
GSE86374	GSM2301048	GSM2301048_AT135.CEL.gz	307523.7
GSE86374	GSM2301049	GSM2301049_AT141.CEL.gz	303818.31
GSE86374	GSM2301050	GSM2301050_AT154.CEL.gz	288872.76
GSE86374	GSM2301051	GSM2301051_AT160.CEL.gz	302241.09
GSE86374	GSM2301052	GSM2301052_AT165.CEL.gz	306380.3
GSE86374	GSM2301053	GSM2301053_AT167.CEL.gz	312555.01
GSE86374	GSM2301054	GSM2301054_AT169.CEL.gz	319350.44
GSE86374	GSM2301055	GSM2301055_AT170.CEL.gz	317490
GSE86374	GSM2301056	GSM2301056_AT171.CEL.gz	329982.29
GSE86374	GSM2301057	GSM2301057_AT172.CEL.gz	323768.93
GSE86374	GSM2301058	GSM2301058_AT178.CEL.gz	316860.85
GSE86374	GSM2301059	GSM2301059_AT183.CEL.gz	294961.29
GSE86374	GSM2301060	GSM2301060_AT184.CEL.gz	328022.42
GSE86374	GSM2301061	GSM2301061_AT187.CEL.gz	307857.76
GSE86374	GSM2301062	GSM2301062_AT190.CEL.gz	310880.64
GSE86374	GSM2301063	GSM2301063_AT192.CEL.gz	309631.76
GSE86374	GSM2301064	GSM2301064_AT194.CEL.gz	295707.64
GSE86374	GSM2301065	GSM2301065_AT200.CEL.gz	294130.99
GSE86374	GSM2301066	GSM2301066_AT203.CEL.gz	282969.3
GSE86374	GSM2301067	GSM2301067_AT206.CEL.gz	304986.06
GSE86374	GSM2301068	GSM2301068_AT212.CEL.gz	316465.06
GSE86374	GSM2301069	GSM2301069_AT229.CEL.gz	290798.32
GSE86374	GSM2301070	GSM2301070_AT244.CEL.gz	302087.99
GSE86374	GSM2301071	GSM2301071_BaT3.CEL.gz	268871.65
GSE86374	GSM2301072	GSM2301072_BaT45.CEL.gz	295580.46
