sample1	sample2	expr.similarity	expr.doppel	pheno.similarity	pheno.doppel	smokinggun.similarity	smokinggun.doppel
E_TABM_158:b0243	GSE7378:GSM177495	0.9918499273425634	TRUE	NA	FALSE	NA	FALSE
E_TABM_158:b0317	GSE7378:GSM177499	0.9950150237815248	TRUE	NA	FALSE	NA	FALSE
E_TABM_158:b0337	GSE7378:GSM177500	0.9949509139871576	TRUE	NA	FALSE	NA	FALSE
E_TABM_158:b0341	GSE7378:GSM177501	0.9957235280066434	TRUE	NA	FALSE	NA	FALSE
E_TABM_158:b0370	GSE7378:GSM177502	0.9958173138131261	TRUE	NA	FALSE	NA	FALSE
E_TABM_158:b0404	GSE7378:GSM177504	0.9961022061214481	TRUE	NA	FALSE	NA	FALSE
E_TABM_158:b0414	GSE7378:GSM177505	0.995005987073443	TRUE	NA	FALSE	NA	FALSE
E_TABM_158:b0420	GSE7378:GSM177506	0.9947909588654336	TRUE	NA	FALSE	NA	FALSE
E_TABM_158:s0006	GSE7378:GSM177524	0.9953025967002055	TRUE	NA	FALSE	NA	FALSE
E_TABM_158:s0033	GSE7378:GSM177526	0.9958409284040738	TRUE	NA	FALSE	NA	FALSE
E_TABM_158:s0035	GSE7378:GSM177527	0.9959612868480066	TRUE	NA	FALSE	NA	FALSE
E_TABM_158:s0047	GSE7378:GSM177528	0.9954637186731883	TRUE	NA	FALSE	NA	FALSE
E_TABM_158:s0100	GSE7378:GSM177531	0.9954779174347628	TRUE	NA	FALSE	NA	FALSE
E_TABM_158:s0116	GSE7378:GSM177532	0.9951693221154077	TRUE	NA	FALSE	NA	FALSE
E_TABM_158:s0141	GSE7378:GSM177534	0.9955472000867033	TRUE	NA	FALSE	NA	FALSE
