sample1	sample2	expr.similarity	expr.doppel	pheno.similarity	pheno.doppel	smokinggun.similarity	smokinggun.doppel
GSE25055:GSM615301	GSE25055:GSM615333	0.97928792405572	TRUE	NA	FALSE	NA	FALSE
GSE32518:GSM805338	GSE32518:GSM805339	0.9886390426047007	TRUE	NA	FALSE	NA	FALSE
GSE32518:GSM805360	GSE32518:GSM805362	0.9946967862607319	TRUE	NA	FALSE	NA	FALSE
GSE25055:GSM615186	GSE32518:GSM805302	0.9959492640932687	TRUE	NA	FALSE	NA	FALSE
GSE25055:GSM615191	GSE32518:GSM805306	0.9948451078818968	TRUE	NA	FALSE	NA	FALSE
GSE25055:GSM615198	GSE32518:GSM805312	0.9956370835451833	TRUE	NA	FALSE	NA	FALSE
GSE25055:GSM615201	GSE32518:GSM805314	0.994795523216321	TRUE	NA	FALSE	NA	FALSE
GSE25055:GSM615204	GSE32518:GSM805316	0.9952889591759175	TRUE	NA	FALSE	NA	FALSE
GSE25055:GSM615206	GSE32518:GSM805318	0.9952207164234668	TRUE	NA	FALSE	NA	FALSE
GSE25055:GSM615251	GSE32518:GSM805328	0.994225795426067	TRUE	NA	FALSE	NA	FALSE
GSE25055:GSM615385	GSE32518:GSM805332	0.992791535951967	TRUE	NA	FALSE	NA	FALSE
GSE25055:GSM615364	GSE32518:GSM805372	0.9938967015063405	TRUE	NA	FALSE	NA	FALSE
