sample1	sample2	expr.similarity	expr.doppel	pheno.similarity	pheno.doppel	smokinggun.similarity	smokinggun.doppel
GSE2990:gsm65758	GSE3494_U133B:GSM79381	0.9700761725658661	TRUE	NA	FALSE	NA	FALSE
GSE2990:gsm65335	GSE3494_U133B:GSM79385	0.9716124452087973	TRUE	NA	FALSE	NA	FALSE
GSE2990:gsm65762	GSE3494_U133B:GSM79388	0.976025947414136	TRUE	NA	FALSE	NA	FALSE
GSE2990:gsm65764	GSE3494_U133B:GSM79396	0.9713053703547794	TRUE	NA	FALSE	NA	FALSE
GSE2990:gsm65769	GSE3494_U133B:GSM79424	0.9710813241928319	TRUE	NA	FALSE	NA	FALSE
GSE2990:gsm65782	GSE3494_U133B:GSM79483	0.9780746880562671	TRUE	NA	FALSE	NA	FALSE
GSE2990:gsm65784	GSE3494_U133B:GSM79495	0.970924773207571	TRUE	NA	FALSE	NA	FALSE
GSE2990:gsm65787	GSE3494_U133B:GSM79501	0.9712813255474407	TRUE	NA	FALSE	NA	FALSE
GSE2990:gsm65798	GSE3494_U133B:GSM79536	0.9741083391903298	TRUE	NA	FALSE	NA	FALSE
GSE2990:gsm65801	GSE3494_U133B:GSM79544	0.9698739676351864	TRUE	NA	FALSE	NA	FALSE
GSE2990:gsm65814	GSE3494_U133B:GSM79590	0.9702291258813023	TRUE	NA	FALSE	NA	FALSE
