sample1	sample2	expr.similarity	expr.doppel	pheno.similarity	pheno.doppel	smokinggun.similarity	smokinggun.doppel
GSE3494_U133B:GSM79370	GSE6532_U133B:GSM150876	0.994048440719927	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79371	GSE6532_U133B:GSM150877	0.9935465496113873	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79374	GSE6532_U133B:GSM150878	0.9934922898663513	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79376	GSE6532_U133B:GSM150879	0.993857483320144	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79379	GSE6532_U133B:GSM150880	0.9939792464970061	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79388	GSE6532_U133B:GSM150885	0.9942832524022257	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79393	GSE6532_U133B:GSM150886	0.9942862306629501	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79396	GSE6532_U133B:GSM150887	0.9943744673416649	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79403	GSE6532_U133B:GSM150888	0.9934122238758704	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79407	GSE6532_U133B:GSM150889	0.9948955035566663	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79415	GSE6532_U133B:GSM150890	0.9941495972028849	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79424	GSE6532_U133B:GSM150892	0.9934088221917525	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79429	GSE6532_U133B:GSM150893	0.9939861919560119	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79449	GSE6532_U133B:GSM150896	0.9936025612701419	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79452	GSE6532_U133B:GSM150898	0.99363578348941894	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79459	GSE6532_U133B:GSM150899	0.9935520373183638	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79472	GSE6532_U133B:GSM150902	0.9946167300246654	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79479	GSE6532_U133B:GSM150903	0.9944402986350603	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79480	GSE6532_U133B:GSM150904	0.9933802248876066	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79483	GSE6532_U133B:GSM150905	0.9943848045693578	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79485	GSE6532_U133B:GSM150906	0.9946338021651004	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79495	GSE6532_U133B:GSM150907	0.9934187791994286	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79496	GSE6532_U133B:GSM150908	0.9945544408990639	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79503	GSE6532_U133B:GSM150911	0.9933871650952524	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79514	GSE6532_U133B:GSM150913	0.9942685164531625	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79519	GSE6532_U133B:GSM150914	0.9948695254088564	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79526	GSE6532_U133B:GSM150916	0.9937232266413609	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79533	GSE6532_U133B:GSM150919	0.9932265360653928	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79541	GSE6532_U133B:GSM150923	0.9941174936513103	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79559	GSE6532_U133B:GSM150930	0.9939210874870549	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79568	GSE6532_U133B:GSM150933	0.9939017066866537	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79578	GSE6532_U133B:GSM150935	0.9943947050756159	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79584	GSE6532_U133B:GSM150936	0.9933466008442987	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79598	GSE6532_U133B:GSM150938	0.9944192883286257	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79369	GSE6532_U133B:GSM151179	0.9938594843866054	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79377	GSE6532_U133B:GSM151181	0.9950815898456853	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79390	GSE6532_U133B:GSM151185	0.9939707210686544	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79399	GSE6532_U133B:GSM151187	0.9944101061477202	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79400	GSE6532_U133B:GSM151188	0.9934565348984943	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79401	GSE6532_U133B:GSM151189	0.9936051809289064	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79410	GSE6532_U133B:GSM151192	0.9941920772461154	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79414	GSE6532_U133B:GSM151194	0.9939130803462881	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79417	GSE6532_U133B:GSM151195	0.9933335525961943	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79420	GSE6532_U133B:GSM151197	0.9947029563850907	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79425	GSE6532_U133B:GSM151200	0.994514243696605	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79432	GSE6532_U133B:GSM151201	0.9938604892332055	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79439	GSE6532_U133B:GSM151203	0.9933815514271744	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79444	GSE6532_U133B:GSM151205	0.9936012928015435	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79456	GSE6532_U133B:GSM151208	0.9948449584689664	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79461	GSE6532_U133B:GSM151210	0.9942411182408145	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79490	GSE6532_U133B:GSM151216	0.9942927612746852	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79491	GSE6532_U133B:GSM151217	0.9943767342721458	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79506	GSE6532_U133B:GSM151220	0.9940436796659233	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79508	GSE6532_U133B:GSM151221	0.9938358781844955	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79510	GSE6532_U133B:GSM151222	0.9933993190206081	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79539	GSE6532_U133B:GSM151225	0.9933879751220478	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79552	GSE6532_U133B:GSM151230	0.993446025189007	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79562	GSE6532_U133B:GSM151233	0.9936857892854639	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79565	GSE6532_U133B:GSM151234	0.9943669837122232	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79566	GSE6532_U133B:GSM151235	0.9936864077884925	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79567	GSE6532_U133B:GSM151236	0.9937752023005001	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79574	GSE6532_U133B:GSM151238	0.993737380412377	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79577	GSE6532_U133B:GSM151239	0.9935677566832624	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79582	GSE6532_U133B:GSM151242	0.9941598765524305	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79589	GSE6532_U133B:GSM151244	0.9941534034177499	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79593	GSE6532_U133B:GSM151246	0.99405459189008	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79600	GSE6532_U133B:GSM151250	0.9948384387046314	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79601	GSE6532_U133B:GSM151251	0.9932080349579399	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79602	GSE6532_U133B:GSM151252	0.9938076694618811	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79603	GSE6532_U133B:GSM151253	0.9942293946010113	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79605	GSE6532_U133B:GSM151255	0.9933791682615923	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133B:GSM79610	GSE6532_U133B:GSM151257	0.9942372876691047	TRUE	NA	FALSE	NA	FALSE
