Dataset_ID	Variable	Unique_Summary	Num_Unique
E_TABM_158	alive_at_endpoint	no, yes, NA	3
E_TABM_158	chemotherapy_treatment	no, yes, NA	3
E_TABM_158	dead_of_disease	no, yes, NA	3
E_TABM_158	distal_recurrence	no, yes, NA	3
E_TABM_158	erb_b2_positive_ihc	no, yes, NA	3
E_TABM_158	estrogen_receptor_status	negative, positive	2
E_TABM_158	ethnicity	African American, Caucasian, Other, NA	4
E_TABM_158	family_history	none, yes, NA	3
E_TABM_158	hormonal_therapy	no, yes, NA	3
E_TABM_158	node_positive	no, yes	2
E_TABM_158	p53_positive_ihc	no, yes, NA	3
E_TABM_158	Platform_ID	GPL4685	1
E_TABM_158	progesterone_receptor_status	negative, positive, NA	3
E_TABM_158	radiation_treatment	no, yes, NA	3
E_TABM_158	recurrence	no, yes, NA	3
E_TABM_158	sex	female	1
E_TABM_158	tumor_grading	1, 2, 3, NA	4
