Dataset_ID	Variable	Unique_Summary	Num_Unique
GSE17907	center	IPC, Tunis	2
GSE17907	egfr_ihc_status	neg, pos, NA	3
GSE17907	er_ihc_status	neg, pos, NA	3
GSE17907	erbb2_ht_ihc_status	neg, pos, NA	3
GSE17907	erbb2_ihc_status	neg, pos, NA	3
GSE17907	erbb2_tab_ihc_status	neg, pos, NA	3
GSE17907	erbb2p_ihc_status	neg, pos, NA	3
GSE17907	foxa1_ihc_status	neg, pos, NA	3
GSE17907	histology	DUC, MIX, other, NA	4
GSE17907	igf1r_ihc_status	neg, pos, NA	3
GSE17907	ki67_ihc_status	neg, pos, NA	3
GSE17907	molecular_subtype	Basal, ERBB2, LuminalA, Normal, NA	5
GSE17907	p53_ihc_status	neg, pos, NA	3
GSE17907	Platform_ID	GPL570	1
GSE17907	pn	neg, pos, NA	3
GSE17907	pr_ihc_status	neg, pos, NA	3
GSE17907	pt	pT1, pT2, pT3, NA	4
GSE17907	top2a_ihc_status	neg, pos, NA	3
GSE17907	type	IBC, NIBC, NA	3
GSE17907	grade_sbr	1, 2, 3, NA	4
GSE17907	mfs	0, 1, NA	3
