Dataset_ID	Variable	Unique_Summary	Num_Unique
GSE62944_Normal	ajcc_metastasis_pathologic_pm	M0, MX, cM0 (i+), M1	4
GSE62944_Normal	ajcc_nodes_pathologic_pn	N1, N1mi, N1a, N1b, N2, N0, NX, N0 (i-), N1c, N3, N2a, N3a	12
GSE62944_Normal	ajcc_pathologic_tumor_stage	Stage IIB, Stage IIIA, Stage IIA, Stage IIIB, Stage I, Stage IA, Stage IIIC, Stage IV, NA	9
GSE62944_Normal	ajcc_staging_edition	7th, 6th, NA, 5th	4
GSE62944_Normal	ajcc_tumor_pathologic_pt	T2, T3, T1c, T2b, T4b, T1, T1a, T1b, T4d	9
GSE62944_Normal	anatomic_neoplasm_subdivision	Left Upper Outer Quadrant, Left Upper Outer Quadrant|Left, Right Upper Outer Quadrant, Left, Right, Right Lower Outer Quadrant, Left Upper Inner Quadrant, Left Lower Outer Quadrant|Left, Right Upper Inner Quadrant|Right, Left Lower Inner Quadrant, Right Upper Inner Quadrant, Right Upper Inner Quadrant|Right Upper Outer Quadrant|Right, Right Lower Inner Quadrant, Left Upper Inner Quadrant|Left Lower Inner Quadrant|Left Lower Outer Quadrant|Left, Left Upper Inner Quadrant|Left Upper Outer Quadrant, Left Upper Outer Quadrant|Left Lower Outer Quadrant, Left Lower Outer Quadrant, Right Upper Inner Quadrant|Right Upper Outer Quadrant|Right Lower Inner Quadrant|Right Lower Outer Quadrant|Right, Left Upper Outer Quadrant|Left Lower Outer Quadrant|Left, Right Upper Inner Quadrant|Right Lower Inner Quadrant, Right Upper Outer Quadrant|Right, Left Upper Inner Quadrant|Left, Left Upper Inner Quadrant|Left Upper Outer Quadrant|Left Lower Inner Quadrant|Left Lower Outer Quadrant|Left	23
GSE62944_Normal	axillary_staging_method	Axillary lymph node dissection alone, Sentinel node biopsy alone, NA, Sentinel lymph node biopsy plus axillary dissection	4
GSE62944_Normal	bcr_patient_barcode	TCGA-E9-A1N5, TCGA-BH-A18L, TCGA-BH-A0C0, TCGA-BH-A18R, TCGA-BH-A1FJ, TCGA-BH-A1F8, TCGA-GI-A2C9, TCGA-BH-A1EN, TCGA-BH-A1EU, TCGA-BH-A1EV, TCGA-BH-A0DH, TCGA-E9-A1ND, TCGA-E9-A1RH, TCGA-BH-A0DO, TCGA-E9-A1RB, TCGA-BH-A0AY, TCGA-BH-A209, TCGA-BH-A0HK, TCGA-BH-A18K, TCGA-BH-A18P, TCGA-GI-A2C8, TCGA-AC-A2FM, TCGA-BH-A208, TCGA-A7-A13F, TCGA-BH-A204, TCGA-BH-A0BJ, TCGA-BH-A0BZ, TCGA-BH-A0BM, TCGA-BH-A0BQ, TCGA-BH-A1ET, TCGA-E2-A1LH, TCGA-BH-A0B3, TCGA-E9-A1RD, TCGA-BH-A1FC, TCGA-E9-A1N6, TCGA-BH-A1FG, TCGA-BH-A1FU, TCGA-BH-A1FD, TCGA-BH-A1FR, TCGA-BH-A1F0, TCGA-E2-A1LS, TCGA-E2-A1L7, TCGA-E9-A1NG, TCGA-E9-A1R7, TCGA-BH-A18S, TCGA-BH-A0BS, TCGA-BH-A0BV, TCGA-A7-A0CE, TCGA-E2-A1BC, TCGA-BH-A1FN, TCGA-BH-A0BC, TCGA-BH-A0DQ, TCGA-E9-A1RC, TCGA-A7-A0D9, TCGA-BH-A1FM, TCGA-BH-A0B8, TCGA-E9-A1RF, TCGA-BH-A0H5, TCGA-BH-A1F2, TCGA-BH-A1FB, TCGA-BH-A0HA, TCGA-BH-A0AZ, TCGA-BH-A0DV, TCGA-BH-A0BT, TCGA-E9-A1NF, TCGA-BH-A18J, TCGA-E2-A158, TCGA-E2-A15I, TCGA-E9-A1NA, TCGA-E2-A153, TCGA-BH-A0DZ, TCGA-BH-A203, TCGA-BH-A0DD, TCGA-BH-A0E0, TCGA-BH-A1EO, TCGA-E9-A1RI, TCGA-AC-A23H, TCGA-BH-A18N, TCGA-BH-A0C3, TCGA-BH-A18Q, TCGA-BH-A1F6, TCGA-E2-A1LB, TCGA-E9-A1N4, TCGA-E9-A1N9, TCGA-BH-A0B5, TCGA-BH-A1FH, TCGA-BH-A0B7, TCGA-A7-A0CH, TCGA-BH-A0DT, TCGA-E2-A1IG, TCGA-BH-A0H9, TCGA-AC-A2FB, TCGA-BH-A0H7, TCGA-AC-A2FF, TCGA-BH-A0DL, TCGA-BH-A0DK, TCGA-BH-A0BW, TCGA-BH-A0AU, TCGA-BH-A0E1, TCGA-BH-A0BA, TCGA-BH-A0DG, TCGA-BH-A0DP, TCGA-BH-A18U, TCGA-E2-A15M, TCGA-BH-A18M, TCGA-BH-A1EW	106
GSE62944_Normal	bcr_patient_uuid	f954de05-1b44-4087-8933-6cc72d81028d, 9ddc3e7b-8b54-4a83-8335-8053940f56c1, 7875018b-91dc-4ab1-83b0-ee3883e2816e, f6e1ec78-5ad9-4879-9b7e-262d17b166ad, f6581eee-61b9-43d4-ab0d-ce5ce3ba1c74, ee554215-bea2-4268-aaf9-784e68cdb969, 9F6BE944-83DE-42AB-8738-F0022F475E61, 858652b8-c4c2-41d8-be32-fdc88e1a7bb0, a1093598-d3a8-4ffe-83fc-bc7d1faff7e5, 417dea5f-f68e-4dab-940e-43ae8c67e5e6, 491b6364-1223-474f-816f-e248c8c841e2, f06f09f3-8133-4a92-ac86-fbe64295e0d8, 408cb583-6dc3-4698-8bd2-e284042bd5ef, d3d4d709-ab34-4617-aa8c-51a3d0a3efe6, 94b95984-b2fb-4e42-8887-45e7086c3179, 93ed6066-b567-4e1c-ab81-23370f9d3452, 5258294f-ef5b-4091-9183-6bcc545d54b2, 24334ac1-28a3-4b61-b590-3f51e375b247, 50619f8c-10aa-464a-a227-90a7aa6ffd43, 557cb0a3-6f1b-4faf-8296-0a15c24158f9, 33fe5833-d7a0-43d7-a03d-56985ea448a6, B6B1DC9A-91F4-4B0A-AFD5-62C9A90C0D5E, ddcbdac6-9e43-4146-a611-d033125eba14, 2cf68894-168b-458b-af4f-53cad72989a8, 05135396-df5c-49db-b34e-f4add5b65a2b, d6f911b5-e895-43f8-8f86-0ac2f1bc6fae, 4a032bad-e726-48f2-8f39-e3acc109cc91, c2aeee6c-ba10-4cf9-b560-c739580f7bf3, b3bb8fd6-ee54-4813-b042-2bbe70115382, 8986a141-eae7-4157-b695-02cc6fc3b071, d8ecba6a-9fff-4993-a799-9a8d2aea524e, 18eb4dfc-556f-4bf3-a411-4780209ed1e0, 5fe3c51f-65e2-4da6-8924-a6fae17c022d, b97bf89a-7a85-4eef-ae7e-f787aead1f0a, 955d4263-61f7-42e8-8a6e-772a0d6c209d, d4e7426c-9739-4585-9114-e564b13c7c02, c348a9b3-c901-4384-a222-144387bac0c5, 3c8b5af9-c34d-43c2-b8c9-39ea11e44fa6, bf3b1481-ae31-4406-b084-b6cc1d7163e3, 21ef1730-e5a7-47ce-b419-d000bb59ae15, 91a2f2af-e4b1-4a0b-ab20-6a36ce63c533, 791c5768-f0f5-4ab6-86eb-998e5c4b49e3, 659b0170-e914-45ff-aa55-fcb8d3dc7b8a, 2680da86-c977-4611-b75f-df015283c023, 433427a1-bacf-4381-91ba-5fec8a0953f9, 2b22db1d-54a1-4b9e-a86e-a174cf51d95c, 87f03d04-e651-4a6e-aea6-1c946aa46202, 9d95a65b-e41d-4f93-92d4-99dce29ff40d, d8492ebd-3d94-4a4b-8de7-386526691cc2, 6dd0dd7b-62ff-4fd1-a99a-b265f1a91dca, 327a2395-85c8-42e1-9638-8e037a1723ed, a851ca14-7bbf-455b-a054-ec03979a4247, 5cdae21d-eee5-478f-932a-0f51fcf5f031, 17baef7c-d97d-4b98-ab53-503ef856523d, 7eb18190-5a41-4637-9783-f81bbde499e4, d3a75976-67d3-40fa-9f6f-cf2a3d7b773c, c694615c-b1c6-499c-8058-995633ebf948, cab38ea8-4555-413c-b81e-4621aac4ef85, 6a2972e3-cca9-47e5-aac0-b770f2399eeb, ecab16bc-28d5-4c3a-8735-3c785bd047c4, e666081b-caaf-4e8b-9446-807be71201a5, 518f231c-f5f9-4a39-a97b-7fd5666d3e50, 96b9c7db-1be1-4b60-b47c-26b654c3d64c, a32cb96a-78bf-456e-a6ab-2d47b2c67ad4, a8b1f6e7-2bcf-460d-b1c6-1792a9801119, cc074b7f-d3b2-4880-902e-bf10e667b665, a6edb6ca-ae9f-4da7-8ebe-92d83d2987fb, 64089c20-939f-48b4-ae8b-904ad0597145, af577366-0258-49e7-b6af-e70056c081a4, be9bf36a-12e1-4386-addf-1686dc8b49de, 478eb8aa-50b8-4ce5-98e4-d518ede4b174, b3264748-947a-43aa-b227-b294fbcc8447, dba9beec-5e51-48c0-9229-0ee286a02a1a, 20e8106b-1290-4735-abe4-7621e08e3dc8, 4510295e-8aa7-4ef1-b2b7-91cc902f8200, dd3bfb26-b534-4917-9c4d-9fe7b6477762, 7dcf550c-90ce-4f63-aecd-0e46897e2a3e, 665dd3d3-779c-4abd-b5d7-13342340451d, 7bcf6d42-eb8f-4aa2-825b-38671d4f9e3a, db4bc6aa-2e7d-4bcb-8519-a455f624d33b, ad18820b-a804-49c0-ba8a-86c09fa6bce2, fa176764-a76f-44c7-b97a-cd6d21e052be, 69a68fbc-e43d-4652-85ee-693211bded47, 994ca1f5-ad10-44ec-aa21-71fc2940653b, 9da462b0-93c2-4305-89f6-7199a30399a7, 1783cac1-253a-40af-a9ac-48dfb20e1ab8, 214a4507-d974-4b3e-8525-7408fccc6a0f, 9de678e5-67ed-4453-a98b-7ac351d5d0f1, 74f31744-0aed-4633-beec-4e203315f0b7, bc0bc70f-c6cf-4dbc-9dc3-8b7bc5f381a4, 0f64edec-0f1f-4025-8a53-75f9534f7828, 02BBB632-0F7F-439D-B8F0-C86A06237424, 2021ed1f-dc75-4701-b8b8-1386466e4802, 3CA67CD0-81DA-4F68-A9FA-F1A8C013C28D, ba39bfbc-5cac-4f6c-b55c-4eee3466ee93, f2bbfa9d-9a9d-4f46-9fde-378e4c44e2ad, 5d1d00c6-fcae-479e-ae1e-de76efd41d98, 360d1d6d-cf3e-4c78-b36f-ef5e3160aa6b, 606fbc6a-b41b-441d-9401-51e54912bf5e, 49dc3e68-6206-4f16-969f-a758cc7be8ed, 0bc5744c-5fa3-45bb-87d0-70a02068b392, 14267783-5624-4fe5-ba81-9d67f1017474, 233b02f3-c4f0-4a67-9db5-e68d5cdaccb6, 59be60a3-e0f6-4d63-b98c-574ef92428c4, f63722c1-a0bb-4bf9-8a10-1d76a8e1a0ba, 9d166970-07c8-4ca3-9cfa-ed0049df9ecc	106
GSE62944_Normal	er_status_by_ihc	Positive, Indeterminate, Negative, NA	4
