Dataset_ID	Variable	Unique_Summary	Num_Unique
GSE96058_NextSeq	lymph_node_group	NodeNegative, 1to3, NA, SubMicroMet, 4toX	5
GSE96058_NextSeq	lymph_node_status	NodeNegative, NodePositive, NA	3
GSE96058_NextSeq	nhg	G2, G3, NA, G1	4
GSE96058_NextSeq	pam50_subtype	Normal, Basal, LumA, LumB, Her2	5
GSE96058_NextSeq	Platform_ID	GPL18573	1
GSE96058_NextSeq	chemo_treated	0, 1	2
GSE96058_NextSeq	endocrine_treated	0, 1	2
GSE96058_NextSeq	er_status	0, 1	3
GSE96058_NextSeq	her2_status	0, 1	3
GSE96058_NextSeq	ki67_status	0, 1	3
GSE96058_NextSeq	overall_survival_event	0, 1	2
GSE96058_NextSeq	pgr_status	0, 1	3
