Dataset_ID	Variable	Min	Mean	Max	Num_Unique	Unique_Summary
ICGC_FR	donor_age_at_diagnosis	31	54.78787878787879	86	43	31, 32, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 69, 70, 71, 72, 73, 75, 76, 78, 86
ICGC_FR	donor_age_at_enrollment	31	54.81818181818182	86	44	31, 32, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 69, 70, 71, 72, 73, 75, 76, 77, 78, 86
ICGC_FR	donor_age_at_last_followup	34	59.03061224489796	90	44	34, 36, 38, 39, 42, 43, 44, 45, 46, 49, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 90
ICGC_FR	donor_interval_of_last_followup	193	1552.908163265306	2993	93	193, 249, 358, 546, 550, 554, 572, 614, 642, 811, 812, 813, 900, 921, 951, 981, 1015, 1026, 1099, 1171, 1223, 1285, 1303, 1313, 1340, 1356, 1367, 1399, 1478, 1487, 1496, 1522, 1524, 1554, 1588, 1593, 1603, 1639, 1644, 1658, 1659, 1667, 1670, 1676, 1678, 1680, 1699, 1700, 1702, 1703, 1758, 1764, 1776, 1780, 1794, 1814, 1816, 1817, 1819, 1821, 1822, 1824, 1829, 1833, 1834, 1835, 1839, 1850, 1852, 1865, 1866, 1872, 1883, 1889, 1890, 1895, 1911, 1918, 1923, 1950, 1961, 1975, 1980, 1995, 2006, 2015, 2041, 2064, 2067, 2093, 2235, 2993
ICGC_FR	donor_relapse_interval	476	1269.3333333333333	1852	10	476, 857, 936, 1186, 1215, 1529, 1546, 1827, 1852
ICGC_FR	donor_survival_time	572	1429	2092	6	572, 1012, 1659, 1810, 2092
ICGC_FR	first_therapy_duration	43	117.67213114754098	541	28	43, 53, 63, 67, 76, 98, 102, 103, 105, 106, 107, 108, 110, 112, 113, 115, 119, 120, 122, 123, 126, 127, 131, 145, 162, 434, 541
ICGC_FR	first_therapy_start_interval	0	34.4264705882353	141	29	0, 23, 30, 34, 35, 36, 37, 38, 46, 47, 48, 49, 55, 57, 58, 60, 64, 69, 73, 78, 83, 89, 96, 97, 102, 104, 109, 141
ICGC_FR	second_therapy_duration	13	64.12857142857143	149	34	13, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 55, 63, 104, 105, 106, 107, 108, 111, 119, 120, 126, 130, 137, 147, 149
ICGC_FR	second_therapy_start_interval	0	137.97674418604652	467	57	0, 19, 35, 45, 89, 90, 97, 105, 106, 123, 130, 132, 133, 136, 138, 139, 140, 143, 144, 145, 147, 152, 153, 154, 159, 161, 162, 163, 164, 174, 177, 180, 187, 192, 194, 197, 200, 201, 202, 203, 210, 213, 220, 222, 224, 225, 229, 237, 246, 255, 263, 267, 268, 277, 282, 467
ICGC_FR	tobacco_smoking_intensity	1	18.275	65	26	1, 2, 3, 4, 5, 8, 9, 11, 12, 13, 14, 15, 16, 18, 20, 22, 24, 30, 31, 33, 36, 37, 38, 52, 65
