Dataset_ID	Variable	Unique_Summary	Num_Unique
ICGC_KR	disease_status_last_followup	complete remission, relapse	2
ICGC_KR	donor_relapse_type	NA, local recurrence and distant metastasis, distant recurrence/metastasis	3
ICGC_KR	donor_sex	female	1
ICGC_KR	donor_vital_status	alive, deceased	2
ICGC_KR	level_of_cellularity	41-60%	1
ICGC_KR	Platform_ID	Illumina HiSeq	1
ICGC_KR	tumour_grade	Tis, T2, T3, T4b, T1, T1c	6
ICGC_KR	tumour_grading_system	WHO classification	1
ICGC_KR	tumour_histological_type	IDC, 85003_Infiltrating_duct_carcinoma, 81403_Adenocarcinoma_NOS, others, DCIS	5
ICGC_KR	tumour_stage_system	AJCC 7th	1
ICGC_KR	donor_tumour_stage_at_diagnosis	0, 1, 2, 3	4
ICGC_KR	tumour_stage	0, 1, 2, 3	4
