Dataset_ID	Variable	Unique_Summary	Num_Unique
METABRIC	BREAST_SURGERY	MASTECTOMY, BREAST CONSERVING, NA	3
METABRIC	CELLULARITY	NA, High, Moderate, Low	4
METABRIC	CHEMOTHERAPY	NO, YES, NA	3
METABRIC	CLAUDIN_SUBTYPE	claudin-low, LumA, LumB, Normal, NA, Her2, Basal, NC	8
METABRIC	ER_IHC	Positve, Negative, NA	3
METABRIC	HER2_SNP6	NEUTRAL, LOSS, NA, GAIN, UNDEF	5
METABRIC	HISTOLOGICAL_SUBTYPE	Ductal/NST, Mixed, Lobular, Tubular/ cribriform, NA, Mucinous, Medullary, Other, Metaplastic	9
METABRIC	HORMONE_THERAPY	YES, NO, NA	3
METABRIC	INFERRED_MENOPAUSAL_STATE	Post, Pre, NA	3
METABRIC	LATERALITY	Right, Left, NA	3
METABRIC	OS_STATUS	0:LIVING, 1:DECEASED, NA	3
METABRIC	Platform_ID	GPL6947	1
METABRIC	RADIO_THERAPY	YES, NO, NA	3
METABRIC	RFS_STATUS	0:Not Recurred, 1:Recurred, NA	3
METABRIC	SEX	Female	1
METABRIC	THREEGENE	ER-/HER2-, ER+/HER2- High Prolif, NA, ER+/HER2- Low Prolif, HER2+	5
METABRIC	VITAL_STATUS	Living, Died of Disease, Died of Other Causes, NA	4
