Dataset_ID	Sample_ID	Platform_ID	tissue_type
GSE10780	GSM272133	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272134	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272135	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272136	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272137	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272138	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272139	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272140	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272141	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272142	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272143	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272144	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272145	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272146	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272147	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272148	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272149	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272150	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272151	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272152	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272153	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272154	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272155	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272156	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272157	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272158	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272159	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272160	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272161	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272162	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272163	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272164	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272165	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272166	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272167	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272168	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272169	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272170	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272171	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272172	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272173	GPL570	Invasive ductal carcinoma (IDC)
