Dataset_ID	Sample_ID	Platform_ID	replicate	tissue_source
GSE10797	GSM272671	GPL571	cancer_epithelial_rep1	tumor epithelium from breast cancer patient
GSE10797	GSM272672	GPL571	cancer_stroma_rep1	stromal cells from breast cancer patient
GSE10797	GSM272673	GPL571	cancer_epithelial_rep2	tumor epithelium from breast cancer patient
GSE10797	GSM272674	GPL571	cancer_stroma_rep2	stromal cells from breast cancer patient
GSE10797	GSM272675	GPL571	cancer_epithelial_rep3	tumor epithelium from breast cancer patient
GSE10797	GSM272676	GPL571	cancer_stroma_rep3	stromal cells from breast cancer patient
GSE10797	GSM272677	GPL571	cancer_epithelial_rep4	tumor epithelium from breast cancer patient
GSE10797	GSM272678	GPL571	cancer_stroma_rep4	stromal cells from breast cancer patient
GSE10797	GSM272679	GPL571	cancer_epithelial_rep5	tumor epithelium from breast cancer patient
GSE10797	GSM272680	GPL571	cancer_stroma_rep5	stromal cells from breast cancer patient
GSE10797	GSM272681	GPL571	cancer_epithelial_rep6	tumor epithelium from breast cancer patient
GSE10797	GSM272682	GPL571	cancer_stroma_rep6	stromal cells from breast cancer patient
GSE10797	GSM272683	GPL571	cancer_epithelial_rep7	tumor epithelium from breast cancer patient
GSE10797	GSM272684	GPL571	cancer_stroma_rep7	stromal cells from breast cancer patient
GSE10797	GSM272685	GPL571	cancer_epithelial_rep8	tumor epithelium from breast cancer patient
GSE10797	GSM272686	GPL571	cancer_stroma_rep8	stromal cells from breast cancer patient
GSE10797	GSM272687	GPL571	cancer_epithelial_rep9	tumor epithelium from breast cancer patient
GSE10797	GSM272688	GPL571	cancer_stroma_rep9	stromal cells from breast cancer patient
GSE10797	GSM272689	GPL571	cancer_epithelial_rep10	tumor epithelium from breast cancer patient
GSE10797	GSM272690	GPL571	cancer_stroma_rep10	stromal cells from breast cancer patient
GSE10797	GSM272691	GPL571	cancer_epithelial_rep11	tumor epithelium from breast cancer patient
GSE10797	GSM272692	GPL571	cancer_stroma_rep11	stromal cells from breast cancer patient
GSE10797	GSM272693	GPL571	cancer_epithelial_rep12	tumor epithelium from breast cancer patient
GSE10797	GSM272694	GPL571	cancer_stroma_rep12	stromal cells from breast cancer patient
GSE10797	GSM272695	GPL571	cancer_epithelial_rep13	tumor epithelium from breast cancer patient
GSE10797	GSM272696	GPL571	cancer_stroma_rep13	stromal cells from breast cancer patient
GSE10797	GSM272697	GPL571	cancer_epithelial_rep14	tumor epithelium from breast cancer patient
GSE10797	GSM272698	GPL571	cancer_stroma_rep14	stromal cells from breast cancer patient
GSE10797	GSM272699	GPL571	cancer_epithelial_rep15	tumor epithelium from breast cancer patient
GSE10797	GSM272700	GPL571	cancer_stroma_rep15	stromal cells from breast cancer patient
GSE10797	GSM272701	GPL571	cancer_epithelial_rep16	tumor epithelium from breast cancer patient
GSE10797	GSM272702	GPL571	cancer_stroma_rep16	stromal cells from breast cancer patient
GSE10797	GSM272703	GPL571	cancer_epithelial_rep17	tumor epithelium from breast cancer patient
GSE10797	GSM272704	GPL571	cancer_stroma_rep17	stromal cells from breast cancer patient
GSE10797	GSM272705	GPL571	cancer_epithelial_rep18	tumor epithelium from breast cancer patient
GSE10797	GSM272706	GPL571	cancer_stroma_rep18	stromal cells from breast cancer patient
GSE10797	GSM272707	GPL571	cancer_epithelial_rep19	tumor epithelium from breast cancer patient
GSE10797	GSM272708	GPL571	cancer_stroma_rep19	stromal cells from breast cancer patient
GSE10797	GSM272709	GPL571	cancer_epithelial_rep20	tumor epithelium from breast cancer patient
GSE10797	GSM272710	GPL571	cancer_stroma_rep20	stromal cells from breast cancer patient
GSE10797	GSM272711	GPL571	cancer_epithelial_rep21	tumor epithelium from breast cancer patient
GSE10797	GSM272712	GPL571	cancer_stroma_rep21	stromal cells from breast cancer patient
GSE10797	GSM272713	GPL571	cancer_epithelial_rep22	tumor epithelium from breast cancer patient
GSE10797	GSM272714	GPL571	cancer_stroma_rep22	stromal cells from breast cancer patient
GSE10797	GSM272715	GPL571	cancer_epithelial_rep23	tumor epithelium from breast cancer patient
GSE10797	GSM272716	GPL571	cancer_stroma_rep23	stromal cells from breast cancer patient
GSE10797	GSM272717	GPL571	cancer_epithelial_rep24	tumor epithelium from breast cancer patient
GSE10797	GSM272718	GPL571	cancer_stroma_rep24	stromal cells from breast cancer patient
GSE10797	GSM272719	GPL571	cancer_epithelial_rep25	tumor epithelium from breast cancer patient
GSE10797	GSM272720	GPL571	cancer_stroma_rep25	stromal cells from breast cancer patient
GSE10797	GSM272721	GPL571	cancer_epithelial_rep26	tumor epithelium from breast cancer patient
GSE10797	GSM272722	GPL571	cancer_stroma_rep26	stromal cells from breast cancer patient
GSE10797	GSM272723	GPL571	cancer_epithelial_rep27	tumor epithelium from breast cancer patient
GSE10797	GSM272724	GPL571	cancer_stroma_rep27	stromal cells from breast cancer patient
GSE10797	GSM272725	GPL571	cancer_epithelial_rep28	tumor epithelium from breast cancer patient
GSE10797	GSM272726	GPL571	cancer_stroma_rep28	stromal cells from breast cancer patient
GSE10797	GSM272727	GPL571	normal_epithelial_rep1	epithelium from normal patient
GSE10797	GSM272728	GPL571	normal_stroma_rep1	stromal cells from normal patient
GSE10797	GSM272729	GPL571	normal_epithelial_rep2	epithelium from normal patient
GSE10797	GSM272730	GPL571	normal_stroma_rep2	stromal cells from normal patient
GSE10797	GSM272731	GPL571	normal_epithelial_rep3	epithelium from normal patient
GSE10797	GSM272732	GPL571	normal_stroma_rep3	stromal cells from normal patient
GSE10797	GSM272733	GPL571	normal_epithelial_rep4	epithelium from normal patient
GSE10797	GSM272734	GPL571	normal_stroma_rep4	stromal cells from normal patient
GSE10797	GSM272735	GPL571	normal_epithelial_rep5	epithelium from normal patient
GSE10797	GSM272736	GPL571	normal_stroma_rep5	stromal cells from normal patient
