Dataset_ID	Sample_ID	Platform_ID	batch	tissue
GSE111662	GSM3036781	GPL570	4	stroma
GSE111662	GSM3036782	GPL570	4	epithelium
GSE111662	GSM3036783	GPL570	3	stroma
GSE111662	GSM3036784	GPL570	4	stroma
GSE111662	GSM3036785	GPL570	1	stroma
GSE111662	GSM3036786	GPL570	3	whole
GSE111662	GSM3036787	GPL570	3	whole
GSE111662	GSM3036788	GPL570	3	epithelium
GSE111662	GSM3036789	GPL570	1	epithelium
GSE111662	GSM3036790	GPL570	1	stroma
GSE111662	GSM3036791	GPL570	1	epithelium
GSE111662	GSM3036792	GPL570	3	epithelium
GSE111662	GSM3036793	GPL570	4	whole
GSE111662	GSM3036794	GPL570	4	whole
GSE111662	GSM3036795	GPL570	1	whole
GSE111662	GSM3036796	GPL570	4	epithelium
GSE111662	GSM3036797	GPL570	1	epithelium
GSE111662	GSM3036798	GPL570	2	whole
GSE111662	GSM3036799	GPL570	4	whole
GSE111662	GSM3036800	GPL570	1	stroma
GSE111662	GSM3036801	GPL570	1	whole
GSE111662	GSM3036802	GPL570	4	epithelium
GSE111662	GSM3036803	GPL570	3	stroma
GSE111662	GSM3036804	GPL570	2	epithelium
GSE111662	GSM3036805	GPL570	1	whole
GSE111662	GSM3036806	GPL570	2	stroma
GSE111662	GSM3036807	GPL570	4	stroma
