Dataset_ID	Sample_ID	Platform_ID	disease_state
GSE167213	GSM5099604	GPL570	Triple-negative breast cancer
GSE167213	GSM5099605	GPL570	Triple-negative breast cancer
GSE167213	GSM5099606	GPL570	Triple-negative breast cancer
GSE167213	GSM5099607	GPL570	Triple-negative breast cancer
GSE167213	GSM5099608	GPL570	Triple-negative breast cancer
GSE167213	GSM5099609	GPL570	Triple-negative breast cancer
GSE167213	GSM5099610	GPL570	Triple-negative breast cancer
GSE167213	GSM5099611	GPL570	Triple-negative breast cancer
GSE167213	GSM5099612	GPL570	Triple-negative breast cancer
GSE167213	GSM5099613	GPL570	Triple-negative breast cancer
GSE167213	GSM5099614	GPL570	Triple-negative breast cancer
GSE167213	GSM5099615	GPL570	Triple-negative breast cancer
GSE167213	GSM5099616	GPL570	Triple-negative breast cancer
GSE167213	GSM5099617	GPL570	Triple-negative breast cancer
GSE167213	GSM5099618	GPL570	Triple-negative breast cancer
GSE167213	GSM5099619	GPL570	Triple-negative breast cancer
GSE167213	GSM5099620	GPL570	Triple-negative breast cancer
GSE167213	GSM5099621	GPL570	Triple-negative breast cancer
GSE167213	GSM5099622	GPL570	Triple-negative breast cancer
GSE167213	GSM5099623	GPL570	Triple-negative breast cancer
GSE167213	GSM5099624	GPL570	Triple-negative breast cancer
GSE167213	GSM5099625	GPL570	Triple-negative breast cancer
GSE167213	GSM5099626	GPL570	Triple-negative breast cancer
GSE167213	GSM5099627	GPL570	Triple-negative breast cancer
GSE167213	GSM5099628	GPL570	Triple-negative breast cancer
GSE167213	GSM5099629	GPL570	Triple-negative breast cancer
GSE167213	GSM5099630	GPL570	Triple-negative breast cancer
GSE167213	GSM5099631	GPL570	Triple-negative breast cancer
GSE167213	GSM5099632	GPL570	Triple-negative breast cancer
GSE167213	GSM5099633	GPL570	Triple-negative breast cancer
GSE167213	GSM5099634	GPL570	Triple-negative breast cancer
GSE167213	GSM5099635	GPL570	Triple-negative breast cancer
GSE167213	GSM5099636	GPL570	Triple-negative breast cancer
GSE167213	GSM5099637	GPL570	Triple-negative breast cancer
GSE167213	GSM5099638	GPL570	Triple-negative breast cancer
GSE167213	GSM5099639	GPL570	Triple-negative breast cancer
GSE167213	GSM5099640	GPL570	Triple-negative breast cancer
GSE167213	GSM5099641	GPL570	Triple-negative breast cancer
GSE167213	GSM5099642	GPL570	Triple-negative breast cancer
GSE167213	GSM5099643	GPL570	Triple-negative breast cancer
GSE167213	GSM5099644	GPL570	Triple-negative breast cancer
GSE167213	GSM5099645	GPL570	Triple-negative breast cancer
GSE167213	GSM5099646	GPL570	Triple-negative breast cancer
GSE167213	GSM5099647	GPL570	Triple-negative breast cancer
GSE167213	GSM5099648	GPL570	Triple-negative breast cancer
GSE167213	GSM5099649	GPL570	Triple-negative breast cancer
GSE167213	GSM5099650	GPL570	Triple-negative breast cancer
GSE167213	GSM5099651	GPL570	Triple-negative breast cancer
GSE167213	GSM5099652	GPL570	Triple-negative breast cancer
GSE167213	GSM5099653	GPL570	Triple-negative breast cancer
GSE167213	GSM5099654	GPL570	Triple-negative breast cancer
GSE167213	GSM5099655	GPL570	Triple-negative breast cancer
GSE167213	GSM5099656	GPL570	Triple-negative breast cancer
GSE167213	GSM5099657	GPL570	Triple-negative breast cancer
GSE167213	GSM5099658	GPL570	Triple-negative breast cancer
GSE167213	GSM5099659	GPL570	Triple-negative breast cancer
GSE167213	GSM5099660	GPL570	Triple-negative breast cancer
GSE167213	GSM5099661	GPL570	Triple-negative breast cancer
GSE167213	GSM5099662	GPL570	Triple-negative breast cancer
GSE167213	GSM5099663	GPL570	Triple-negative breast cancer
GSE167213	GSM5099664	GPL570	Triple-negative breast cancer
GSE167213	GSM5099665	GPL570	Triple-negative breast cancer
GSE167213	GSM5099666	GPL570	Triple-negative breast cancer
GSE167213	GSM5099667	GPL570	Triple-negative breast cancer
GSE167213	GSM5099668	GPL570	Triple-negative breast cancer
GSE167213	GSM5099669	GPL570	Triple-negative breast cancer
GSE167213	GSM5099670	GPL570	Triple-negative breast cancer
GSE167213	GSM5099671	GPL570	Triple-negative breast cancer
GSE167213	GSM5099672	GPL570	Triple-negative breast cancer
GSE167213	GSM5099673	GPL570	Triple-negative breast cancer
GSE167213	GSM5099674	GPL570	Triple-negative breast cancer
GSE167213	GSM5099675	GPL570	Triple-negative breast cancer
GSE167213	GSM5099676	GPL570	Triple-negative breast cancer
GSE167213	GSM5099677	GPL570	Triple-negative breast cancer
GSE167213	GSM5099678	GPL570	Triple-negative breast cancer
GSE167213	GSM5099679	GPL570	Triple-negative breast cancer
GSE167213	GSM5099680	GPL570	Triple-negative breast cancer
GSE167213	GSM5099681	GPL570	Triple-negative breast cancer
GSE167213	GSM5099682	GPL570	Triple-negative breast cancer
GSE167213	GSM5099683	GPL570	Triple-negative breast cancer
GSE167213	GSM5099684	GPL570	Triple-negative breast cancer
GSE167213	GSM5099685	GPL570	Triple-negative breast cancer
GSE167213	GSM5099686	GPL570	Triple-negative breast cancer
GSE167213	GSM5099687	GPL570	Triple-negative breast cancer
GSE167213	GSM5099688	GPL570	Triple-negative breast cancer
GSE167213	GSM5099689	GPL570	Triple-negative breast cancer
GSE167213	GSM5099690	GPL570	Triple-negative breast cancer
GSE167213	GSM5099691	GPL570	Triple-negative breast cancer
GSE167213	GSM5099692	GPL570	Triple-negative breast cancer
GSE167213	GSM5099693	GPL570	Triple-negative breast cancer
GSE167213	GSM5099694	GPL570	Triple-negative breast cancer
GSE167213	GSM5099695	GPL570	Triple-negative breast cancer
GSE167213	GSM5099696	GPL570	Triple-negative breast cancer
GSE167213	GSM5099697	GPL570	Triple-negative breast cancer
GSE167213	GSM5099698	GPL570	Triple-negative breast cancer
GSE167213	GSM5099699	GPL570	Triple-negative breast cancer
GSE167213	GSM5099700	GPL570	Triple-negative breast cancer
GSE167213	GSM5099701	GPL570	Triple-negative breast cancer
GSE167213	GSM5099702	GPL570	Triple-negative breast cancer
GSE167213	GSM5099703	GPL570	Triple-negative breast cancer
GSE167213	GSM5099704	GPL570	Triple-negative breast cancer
GSE167213	GSM5099705	GPL570	Triple-negative breast cancer
GSE167213	GSM5099706	GPL570	Triple-negative breast cancer
GSE167213	GSM5099707	GPL570	Triple-negative breast cancer
GSE167213	GSM5099708	GPL570	Triple-negative breast cancer
GSE167213	GSM5099709	GPL570	Triple-negative breast cancer
GSE167213	GSM5099710	GPL570	Triple-negative breast cancer
GSE167213	GSM5099711	GPL570	Triple-negative breast cancer
GSE167213	GSM5099712	GPL570	Triple-negative breast cancer
GSE167213	GSM5099713	GPL570	Triple-negative breast cancer
GSE167213	GSM5099714	GPL570	Triple-negative breast cancer
GSE167213	GSM5099715	GPL570	Triple-negative breast cancer
GSE167213	GSM5099716	GPL570	Triple-negative breast cancer
GSE167213	GSM5099717	GPL570	Triple-negative breast cancer
GSE167213	GSM5099718	GPL570	Triple-negative breast cancer
GSE167213	GSM5099719	GPL570	Triple-negative breast cancer
GSE167213	GSM5099720	GPL570	Triple-negative breast cancer
GSE167213	GSM5099721	GPL570	Triple-negative breast cancer
GSE167213	GSM5099722	GPL570	Triple-negative breast cancer
GSE167213	GSM5099723	GPL570	Triple-negative breast cancer
GSE167213	GSM5099724	GPL570	Triple-negative breast cancer
GSE167213	GSM5099725	GPL570	Triple-negative breast cancer
GSE167213	GSM5099726	GPL570	Triple-negative breast cancer
GSE167213	GSM5099727	GPL570	Triple-negative breast cancer
