Dataset_ID	Sample_ID	Platform_ID
GSE3494_U133A	GSM79114	GPL96
GSE3494_U133A	GSM79115	GPL96
GSE3494_U133A	GSM79116	GPL96
GSE3494_U133A	GSM79117	GPL96
GSE3494_U133A	GSM79118	GPL96
GSE3494_U133A	GSM79119	GPL96
GSE3494_U133A	GSM79120	GPL96
GSE3494_U133A	GSM79121	GPL96
GSE3494_U133A	GSM79122	GPL96
GSE3494_U133A	GSM79123	GPL96
GSE3494_U133A	GSM79124	GPL96
GSE3494_U133A	GSM79125	GPL96
GSE3494_U133A	GSM79126	GPL96
GSE3494_U133A	GSM79127	GPL96
GSE3494_U133A	GSM79128	GPL96
GSE3494_U133A	GSM79129	GPL96
GSE3494_U133A	GSM79130	GPL96
GSE3494_U133A	GSM79131	GPL96
GSE3494_U133A	GSM79132	GPL96
GSE3494_U133A	GSM79133	GPL96
GSE3494_U133A	GSM79134	GPL96
GSE3494_U133A	GSM79135	GPL96
GSE3494_U133A	GSM79136	GPL96
GSE3494_U133A	GSM79137	GPL96
GSE3494_U133A	GSM79138	GPL96
GSE3494_U133A	GSM79139	GPL96
GSE3494_U133A	GSM79140	GPL96
GSE3494_U133A	GSM79141	GPL96
GSE3494_U133A	GSM79142	GPL96
GSE3494_U133A	GSM79143	GPL96
GSE3494_U133A	GSM79144	GPL96
GSE3494_U133A	GSM79145	GPL96
GSE3494_U133A	GSM79146	GPL96
GSE3494_U133A	GSM79147	GPL96
GSE3494_U133A	GSM79148	GPL96
GSE3494_U133A	GSM79149	GPL96
GSE3494_U133A	GSM79150	GPL96
GSE3494_U133A	GSM79151	GPL96
GSE3494_U133A	GSM79152	GPL96
GSE3494_U133A	GSM79153	GPL96
GSE3494_U133A	GSM79154	GPL96
GSE3494_U133A	GSM79155	GPL96
GSE3494_U133A	GSM79156	GPL96
GSE3494_U133A	GSM79157	GPL96
GSE3494_U133A	GSM79158	GPL96
GSE3494_U133A	GSM79159	GPL96
GSE3494_U133A	GSM79160	GPL96
GSE3494_U133A	GSM79161	GPL96
GSE3494_U133A	GSM79162	GPL96
GSE3494_U133A	GSM79163	GPL96
GSE3494_U133A	GSM79164	GPL96
GSE3494_U133A	GSM79165	GPL96
GSE3494_U133A	GSM79166	GPL96
GSE3494_U133A	GSM79167	GPL96
GSE3494_U133A	GSM79168	GPL96
GSE3494_U133A	GSM79169	GPL96
GSE3494_U133A	GSM79170	GPL96
GSE3494_U133A	GSM79171	GPL96
GSE3494_U133A	GSM79172	GPL96
GSE3494_U133A	GSM79173	GPL96
GSE3494_U133A	GSM79174	GPL96
GSE3494_U133A	GSM79175	GPL96
GSE3494_U133A	GSM79176	GPL96
GSE3494_U133A	GSM79177	GPL96
GSE3494_U133A	GSM79178	GPL96
GSE3494_U133A	GSM79179	GPL96
GSE3494_U133A	GSM79180	GPL96
GSE3494_U133A	GSM79181	GPL96
GSE3494_U133A	GSM79182	GPL96
GSE3494_U133A	GSM79183	GPL96
GSE3494_U133A	GSM79184	GPL96
GSE3494_U133A	GSM79185	GPL96
GSE3494_U133A	GSM79186	GPL96
GSE3494_U133A	GSM79187	GPL96
GSE3494_U133A	GSM79188	GPL96
GSE3494_U133A	GSM79189	GPL96
GSE3494_U133A	GSM79190	GPL96
GSE3494_U133A	GSM79191	GPL96
GSE3494_U133A	GSM79192	GPL96
GSE3494_U133A	GSM79193	GPL96
GSE3494_U133A	GSM79194	GPL96
GSE3494_U133A	GSM79195	GPL96
GSE3494_U133A	GSM79196	GPL96
GSE3494_U133A	GSM79197	GPL96
GSE3494_U133A	GSM79198	GPL96
GSE3494_U133A	GSM79199	GPL96
GSE3494_U133A	GSM79200	GPL96
GSE3494_U133A	GSM79201	GPL96
