Dataset_ID	Sample_ID	Platform_ID
GSE3494_U133B	GSM79365	GPL97
GSE3494_U133B	GSM79366	GPL97
GSE3494_U133B	GSM79367	GPL97
GSE3494_U133B	GSM79368	GPL97
GSE3494_U133B	GSM79369	GPL97
GSE3494_U133B	GSM79370	GPL97
GSE3494_U133B	GSM79371	GPL97
GSE3494_U133B	GSM79372	GPL97
GSE3494_U133B	GSM79373	GPL97
GSE3494_U133B	GSM79374	GPL97
GSE3494_U133B	GSM79375	GPL97
GSE3494_U133B	GSM79376	GPL97
GSE3494_U133B	GSM79377	GPL97
GSE3494_U133B	GSM79378	GPL97
GSE3494_U133B	GSM79379	GPL97
GSE3494_U133B	GSM79380	GPL97
GSE3494_U133B	GSM79381	GPL97
GSE3494_U133B	GSM79382	GPL97
GSE3494_U133B	GSM79383	GPL97
GSE3494_U133B	GSM79384	GPL97
GSE3494_U133B	GSM79385	GPL97
GSE3494_U133B	GSM79386	GPL97
GSE3494_U133B	GSM79387	GPL97
GSE3494_U133B	GSM79388	GPL97
GSE3494_U133B	GSM79389	GPL97
GSE3494_U133B	GSM79390	GPL97
GSE3494_U133B	GSM79391	GPL97
GSE3494_U133B	GSM79392	GPL97
GSE3494_U133B	GSM79393	GPL97
GSE3494_U133B	GSM79394	GPL97
GSE3494_U133B	GSM79395	GPL97
GSE3494_U133B	GSM79396	GPL97
GSE3494_U133B	GSM79397	GPL97
GSE3494_U133B	GSM79398	GPL97
GSE3494_U133B	GSM79399	GPL97
GSE3494_U133B	GSM79400	GPL97
GSE3494_U133B	GSM79401	GPL97
GSE3494_U133B	GSM79402	GPL97
GSE3494_U133B	GSM79403	GPL97
GSE3494_U133B	GSM79404	GPL97
GSE3494_U133B	GSM79405	GPL97
GSE3494_U133B	GSM79406	GPL97
GSE3494_U133B	GSM79407	GPL97
GSE3494_U133B	GSM79408	GPL97
GSE3494_U133B	GSM79409	GPL97
GSE3494_U133B	GSM79410	GPL97
GSE3494_U133B	GSM79411	GPL97
GSE3494_U133B	GSM79412	GPL97
GSE3494_U133B	GSM79413	GPL97
GSE3494_U133B	GSM79414	GPL97
GSE3494_U133B	GSM79415	GPL97
GSE3494_U133B	GSM79416	GPL97
GSE3494_U133B	GSM79417	GPL97
GSE3494_U133B	GSM79418	GPL97
GSE3494_U133B	GSM79419	GPL97
GSE3494_U133B	GSM79420	GPL97
GSE3494_U133B	GSM79421	GPL97
GSE3494_U133B	GSM79422	GPL97
GSE3494_U133B	GSM79423	GPL97
GSE3494_U133B	GSM79424	GPL97
GSE3494_U133B	GSM79425	GPL97
GSE3494_U133B	GSM79426	GPL97
GSE3494_U133B	GSM79427	GPL97
