Dataset_ID	Sample_ID	Platform_ID	tissue_source
GSE3744	GSM85473	GPL570	breast tumor
GSE3744	GSM85474	GPL570	breast tumor
GSE3744	GSM85475	GPL570	breast tumor
GSE3744	GSM85476	GPL570	breast tumor
GSE3744	GSM85477	GPL570	breast tumor
GSE3744	GSM85478	GPL570	breast tumor
GSE3744	GSM85479	GPL570	breast tumor
GSE3744	GSM85480	GPL570	breast tumor
GSE3744	GSM85481	GPL570	breast tumor
GSE3744	GSM85482	GPL570	breast tumor
GSE3744	GSM85483	GPL570	breast tumor
GSE3744	GSM85484	GPL570	breast tumor
GSE3744	GSM85485	GPL570	breast tumor
GSE3744	GSM85486	GPL570	breast tumor
GSE3744	GSM85487	GPL570	breast tumor
GSE3744	GSM85488	GPL570	breast tumor
GSE3744	GSM85489	GPL570	breast tumor
GSE3744	GSM85490	GPL570	breast tumor
GSE3744	GSM85491	GPL570	breast tumor
GSE3744	GSM85492	GPL570	breast tumor
GSE3744	GSM85493	GPL570	breast tumor
GSE3744	GSM85494	GPL570	breast tumor
GSE3744	GSM85495	GPL570	breast tumor
GSE3744	GSM85496	GPL570	breast tumor
GSE3744	GSM85497	GPL570	breast tumor
GSE3744	GSM85498	GPL570	breast tumor
GSE3744	GSM85499	GPL570	breast tumor
GSE3744	GSM85500	GPL570	breast tumor
GSE3744	GSM85501	GPL570	breast tumor
GSE3744	GSM85502	GPL570	breast tumor
GSE3744	GSM85503	GPL570	breast tumor
GSE3744	GSM85504	GPL570	breast tumor
GSE3744	GSM85505	GPL570	breast tumor
GSE3744	GSM85506	GPL570	breast tumor
GSE3744	GSM85507	GPL570	breast tumor
GSE3744	GSM85508	GPL570	breast tumor
GSE3744	GSM85509	GPL570	breast tumor
GSE3744	GSM85510	GPL570	breast tumor
GSE3744	GSM85511	GPL570	breast tumor
GSE3744	GSM85512	GPL570	breast tumor
GSE3744	GSM85513	GPL570	bulk normal breast or normal bresat organoid
GSE3744	GSM85514	GPL570	bulk normal breast or normal bresat organoid
GSE3744	GSM85515	GPL570	bulk normal breast or normal bresat organoid
GSE3744	GSM85516	GPL570	bulk normal breast or normal bresat organoid
GSE3744	GSM85517	GPL570	bulk normal breast or normal bresat organoid
GSE3744	GSM85518	GPL570	bulk normal breast or normal bresat organoid
GSE3744	GSM85519	GPL570	bulk normal breast or normal bresat organoid
