Dataset_ID	Sample_ID	Platform_ID	cell_type	gender	tissue
GSE4611	GSM103115	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103116	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103117	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103118	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103119	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103120	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103121	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103122	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103123	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103124	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103125	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103126	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103127	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103128	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103129	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103130	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103131	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103132	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103133	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103134	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103135	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103136	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103137	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103138	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103139	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103140	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103141	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103142	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103143	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103144	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103145	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103146	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103147	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103148	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103149	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103150	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103151	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103152	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103153	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103154	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103155	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103156	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103157	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103158	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103159	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103160	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103161	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103162	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103163	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
