Dataset_ID	Sample_ID	Platform_ID	cohort	gender	tissue
GSE46184	GSM1125783	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125784	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125785	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125786	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125787	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125788	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125789	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125790	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125791	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125792	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125793	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125794	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125795	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125796	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125797	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125798	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125799	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125800	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125801	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125802	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125803	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125804	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125805	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125806	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125807	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125808	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125809	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125810	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125811	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125812	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125813	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125814	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125815	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125816	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125817	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125818	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125819	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125820	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125821	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125822	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125823	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125824	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125825	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125826	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125827	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125828	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125829	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125830	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125831	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125832	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125833	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125834	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125835	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125836	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125837	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125838	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125839	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125840	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125841	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125842	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125843	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125844	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125845	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125846	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125847	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125848	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125849	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125850	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125851	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125852	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125853	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125854	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125855	GPL96	HH	female	pretreatment surgical biopsy
GSE46184	GSM1125856	GPL96	HH	female	pretreatment surgical biopsy
