Dataset_ID	Sample_ID	Platform_ID
GSE6434	GSM4901	GPL8300
GSE6434	GSM4902	GPL8300
GSE6434	GSM4903	GPL8300
GSE6434	GSM4904	GPL8300
GSE6434	GSM4905	GPL8300
GSE6434	GSM4906	GPL8300
GSE6434	GSM4907	GPL8300
GSE6434	GSM4908	GPL8300
GSE6434	GSM4909	GPL8300
GSE6434	GSM4910	GPL8300
GSE6434	GSM4911	GPL8300
GSE6434	GSM4912	GPL8300
GSE6434	GSM4913	GPL8300
GSE6434	GSM4914	GPL8300
GSE6434	GSM4915	GPL8300
GSE6434	GSM4916	GPL8300
GSE6434	GSM4917	GPL8300
GSE6434	GSM4918	GPL8300
GSE6434	GSM4919	GPL8300
GSE6434	GSM4920	GPL8300
GSE6434	GSM4921	GPL8300
GSE6434	GSM4922	GPL8300
GSE6434	GSM4923	GPL8300
GSE6434	GSM4924	GPL8300
