Dataset_ID	Sample_ID	Platform_ID	lcm_location
GSE81838	GSM2176482	GPL6244	tumor
GSE81838	GSM2176483	GPL6244	tumor
GSE81838	GSM2176484	GPL6244	tumor
GSE81838	GSM2176485	GPL6244	tumor
GSE81838	GSM2176486	GPL6244	tumor
GSE81838	GSM2176487	GPL6244	tumor
GSE81838	GSM2176488	GPL6244	tumor
GSE81838	GSM2176489	GPL6244	tumor
GSE81838	GSM2176490	GPL6244	tumor
GSE81838	GSM2176491	GPL6244	tumor
GSE81838	GSM2176492	GPL6244	stroma
GSE81838	GSM2176493	GPL6244	stroma
GSE81838	GSM2176494	GPL6244	stroma
GSE81838	GSM2176495	GPL6244	stroma
GSE81838	GSM2176496	GPL6244	stroma
GSE81838	GSM2176497	GPL6244	stroma
GSE81838	GSM2176498	GPL6244	stroma
GSE81838	GSM2176499	GPL6244	stroma
GSE81838	GSM2176500	GPL6244	stroma
GSE81838	GSM2176501	GPL6244	stroma
