Dataset_ID	Sample_ID	Platform_ID	tissue_type	tissue_source
GSE8977	GSM227514	GPL570	Stroma	normal
GSE8977	GSM227515	GPL570	Stroma	normal
GSE8977	GSM227516	GPL570	Stroma	normal
GSE8977	GSM227517	GPL570	Stroma	normal
GSE8977	GSM227518	GPL570	Stroma	normal
GSE8977	GSM227519	GPL570	Stroma	normal
GSE8977	GSM227520	GPL570	Stroma	normal
GSE8977	GSM227521	GPL570	Stroma	normal
GSE8977	GSM227522	GPL570	Stroma	normal
GSE8977	GSM227523	GPL570	Stroma	normal
GSE8977	GSM227524	GPL570	Stroma	normal
GSE8977	GSM227525	GPL570	Stroma	normal
GSE8977	GSM227526	GPL570	Stroma	normal
GSE8977	GSM227527	GPL570	Stroma	normal
GSE8977	GSM227528	GPL570	Stroma	normal
GSE8977	GSM227529	GPL570	Stroma	tumor
GSE8977	GSM227530	GPL570	Stroma	tumor
GSE8977	GSM227531	GPL570	Stroma	tumor
GSE8977	GSM227532	GPL570	Stroma	tumor
GSE8977	GSM227533	GPL570	Stroma	tumor
GSE8977	GSM227534	GPL570	Stroma	tumor
GSE8977	GSM227535	GPL570	Stroma	tumor
